Name,Year
Matthijs Douze,2010
Cordelia Schmid,2010
Patrick Pérez,2010
Eddy Ilg,2017
Nikolaus Mayer,2017
Tonmoy Saikia,2017
Margret Keuper,2017
Alexey Dosovitskiy,2017
Thomas Brox,2017
David S. Bolme,2010
J. Ross Beveridge,2010
Bruce A. Draper,2010
Yui Man Lui,2010
Jianxiong Xiao,2010
James Hays,2010
Krista A. Ehinger,2010
Aude Oliva,2010
Antonio Torralba,2010
E. Osuna,1997
Robert M. Freund,1997
F. Girosit,1997
Yulun Zhang,2018
Yapeng Tian,2018
Yu Kong,2018
Bineng Zhong,2018
Yun Fu,2018
Johannes L. Schonberger,2016
Jan-Michael Frahm,2016
Heng Wang,2011
Alexander Kläser,2011
Cordelia Schmid,2011
Cheng-Lin Liu,2011
Clément Godard,2017
Oisin Mac Aodha,2017
Gabriel J. Brostow,2017
Ming-Ming Cheng,2011
Guoxin Zhang,2011
Niloy J. Mitra,2011
Xiaolei Huang,2011
Shi-Min Hu,2011
Alexandre Alahi,2016
Kratarth Goel,2016
Vignesh Ramanathan,2016
Alexandre Robicquet,2016
Li Fei-Fei,2016
Silvio Savarese,2016
Vahid Kazemi,2014
Josephine Sullivan,2014
Christoph Feichtenhofer,2016
Axel Pinz,2016
Andrew Zisserman,2016
Mykhaylo Andriluka,2014
Leonid Pishchulin,2014
Peter V. Gehler,2014
Bernt Schiele,2014
Tero Karras,2020
Samuli Laine,2020
Miika Aittala,2020
Janne Hellsten,2020
Jaakko Lehtinen,2020
Timo Aila,2020
Philip Phillips,2005
Patrick J. Flynn,2005
T. Scruggs,2005
Kevin W. Bowyer,2005
Jin Chang,2005
K. Hoffman,2005
J. Marques,2005
Jae-Sik Min,2005
William J. Worek,2005
Weiyang Liu,2017
Yandong Wen,2017
Zhiding Yu,2017
Ming Li,2017
Bhiksha Raj,2017
Le Song,2017
Wei Li,2014
Rui Zhao,2014
Tong Xiao,2014
Xiaogang Wang,2014
Mingxing Tan,2020
Ruoming Pang,2020
Quoc V. Le,2020
Antonio Torralba,2011
Alexei A. Efros,2011
Chuan Yang,2013
Lihe Zhang,2013
Huchuan Lu,2013
Xiang Ruan,2013
Ming-Hsuan Yang,2013
Jia-Bin Huang,2015
Abhishek K. Singh,2015
Narendra Ahuja,2015
Huimin Ma,2017
Ji Wan,2017
Bo Li,2017
Tian Xia,2017
Du Tran,2018
Heng Wang,2018
Lorenzo Torresani,2018
Jamie Ray,2018
Yann LeCun,2018
Manohar Paluri,2018
Pentland,1994
Moghaddam,1994
Starner,1994
Rob Fergus,2003
Pietro Perona,2003
Andrew Zisserman,2003
Guosheng Lin,2017
Anton Milan,2017
Chunhua Shen,2017
Ian R. Reid,2017
Ali Farhadi,2009
Ian Endres,2009
Derek Hoiem,2009
David Forsyth,2009
Xuehan Xiong,2013
Fernando De la Torre,2013
Robby T. Tan,2008
Eirikur Agustsson,2017
Radu Timofte,2017
Martin Danelljan,2017
Goutam Bhat,2017
Fahad Shahbaz Khan,2017
Michael Felsberg,2017
Yi Sun,2014
Xiaogang Wang,2014
Xiaoou Tang,2014
German Ros,2016
Laura Sellart,2016
Joanna Materzynska,2016
David Vazquez,2016
Antonio M. López,2016
Steven M. Seitz,2006
Brian Curless,2006
James Diebel,2006
Daniel Scharstein,2006
Richard Szeliski,2006
Yan Ke,2004
Rahul Sukthankar,2004
Zhirong Wu,2018
Yuanjun Xiong,2018
Stella X. Yu,2018
Dahua Lin,2018
Zichao Yang,2016
Xiaodong He,2016
Jianfeng Gao,2016
Li Deng,2016
Alexander J. Smola,2016
Angela Dai,2017
Angel X. Chang,2017
Manolis Savva,2017
Maciej Halber,2017
Thomas Funkhouser,2017
Matthias NieBner,2017
Bolei Zhou,2017
Hang Zhao,2017
Xavier Puig,2017
Sanja Fidler,2017
Adela Barriuso,2017
Antonio Torralba,2017
Abhinav Shrivastava,2016
Abhinav Gupta,2016
Ross Girshick,2016
Ashish Shrivastava,2017
Tomas Pfister,2017
Oncel Tuzel,2017
Joshua M. Susskind,2017
Wenda Wang,2017
Russell Y. Webb,2017
Fabian Caba Heilbron,2015
Victor Escorcia,2015
Bernard Ghanem,2015
Juan Carlos Niebles,2015
Florent Perronnin,2007
Christopher R. Dance,2007
Charles R. Qi,2018
Wei Liu,2018
Chenxia Wu,2018
Hao Su,2018
Leonidas J. Guibas,2018
Jiahui Yu,2018
Zhe Lin,2018
Jimei Yang,2018
Xiaohui Shen,2018
Xin Lu,2018
Thomas S. Huang,2018
Zhirong Wu,2015
Shuran Song,2015
Aditya Khosla,2015
Fisher Yu,2015
Linguang Zhang,2015
Xiaoou Tang,2015
Jianxiong Xiao,2015
Janne Heikkilä,1997
Olli Silven,1997
Bo Li,2018
Junjie Yan,2018
Wei Wu,2018
Zheng H. Zhu,2018
Xiaolin Hu,2018
Aravindh Mahendran,2015
Andrea Vedaldi,2015
Haoqiang Fan,2017
Hao Su,2017
Leonidas J. Guibas,2017
Moritz Menze,2015
Andreas Geiger,2015
Amir Shahroudy,2016
Jun Liu,2016
Tian-Tsong Ng,2016
Gang Wang,2016
Jianchao Yang,2009
Kai Yu,2009
Yihong Gong,2009
Thomas S. Huang,2009
Martin Köstinger,2012
Martin Hirzer,2012
Paul Wohlhart,2012
Peter M. Roth,2012
Horst Bischof,2012
Christian Szegedy,2016
Sergey Ioffe,2016
Vincent Vanhoucke,2016
Alexander A. Alemi,2016
Hamid Rezatofighi,2019
Nathan Tsoi,2019
JunYoung Gwak,2019
Amir Sadeghian,2019
Ian R. Reid,2019
Silvio Savarese,2019
Ying Tai,2017
Jian Yang,2017
Xiaoming Liu,2017
Steven J. Rennie,2017
Etienne Marcheret,2017
Youssef Mroueh,2017
Jerret Ross,2017
Vaibhava Goel,2017
Hao Wang,2018
Yi-Tong Wang,2018
Zheng Zhou,2018
Xing Ji,2018
Dihong Gong,2018
Jingchao Zhou,2018
Zhifeng Li,2018
Wei Liu,2018
James Philbin,2008
Ondřej Chum,2008
Michael Isard,2008
Josef Sivic,2008
Andrew Zisserman,2008
Michela Farenzena,2010
Loris Bazzani,2010
Alessandro Perina,2010
Vittorio Murino,2010
Marco Cristani,2010
Hong Chang,2004
Dit-Yan Yeung,2004
Yimin Xiong,2004
Shuhang Gu,2014
Lei Zhang,2014
Wangmeng Zuo,2014
Xiangchu Feng,2014
Alexandre Alahi,2012
Raphael Ortiz,2012
Pierre Vandergheynst,2012
Sylvestre-Alvise Rebuffi,2017
Alexander I. Kolesnikov,2017
Georg Sperl,2017
Christoph H. Lampert,2017
Qiong Yan,2013
Li Xu,2013
Jianping Shi,2013
Jiaya Jia,2013
Kensho Hara,2018
Hirokatsu Kataoka,2018
Yutaka Satoh,2018
Ramin Mehran,2009
Alexis Oyama,2009
Mubarak Shah,2009
Li Fei-Fei,2004
Rob Fergus,2004
Pietro Perona,2004
Boris Epshtein,2010
Eyal Ofek,2010
Yonatan Wexler,2010
Jeong Young Park,2019
Peter R. Florence,2019
Julian Straub,2019
Richard Newcombe,2019
Steven Lovegrove,2019
Federico Monti,2017
Davide Boscaini,2017
Jonathan Masci,2017
Emanuele Rodolà,2017
Jan Svoboda,2017
Michael M. Bronstein,2017
Justin C. Johnson,2017
Bharath Hariharan,2017
Laurens van der Maaten,2017
Li Fei-Fei,2017
C. Lawrence Zitnick,2017
Ross Girshick,2017
Luca Bertinetto,2016
Jack Valmadre,2016
Stuart Golodetz,2016
Ondrej Miksik,2016
Philip H. S. Torr,2016
Boris Babenko,2009
Ming-Hsuan Yang,2009
Serge Belongie,2009
Ekin D. Cubuk,2019
Barret Zoph,2019
Dandelion Mane,2019
Vijay K. Vasudevan,2019
Quoc V. Le,2019
Benoit Jacob,2018
Skirmantas Kligys,2018
Bo Chen,2018
Menglong Zhu,2018
Matthew F. Tang,2018
Andrew W. Howard,2018
Hartwig Adam,2018
Dmitry Kalenichenko,2018
Ziwei Liu,2016
Ping Luo,2016
Shi Qiu,2016
Xiaogang Wang,2016
Xiaoou Tang,2016
Lars Mescheder,2019
Michael Oechsle,2019
Michael Niemeyer,2019
Sebastian Nowozin,2019
Andreas Geiger,2019
Federico Perazzi,2016
Jordi Pont-Tuset,2016
Brian McWilliams,2016
Luc Van Gool,2016
Michael L. Gross,2016
Alexander Sorkine-Hornung,2016
Federico Perazzi,2012
Philipp Krähenbühl,2012
Yael Pritch,2012
Alexander Hornung,2012
Quanzeng You,2016
Hailin Jin,2016
Zhaowen Wang,2016
Chen Fang,2016
Jiebo Luo,2016
Bharath Hariharan,2015
Pablo Arbeláez,2015
Ross Girshick,2015
Jitendra Malik,2015
Yash Goyal,2017
Tejas Khot,2017
Douglas Summers-Stay,2017
Dhruv Batra,2017
Devi Parikh,2017
Alex H. Lang,2019
Sourabh Vora,2019
Holger Caesar,2019
Lubing Zhou,2019
Jiong Yang,2019
Oscar Beijbom,2019
Kai Zhang,2017
Wangmeng Zuo,2017
Shuhang Gu,2017
Lei Zhang,2017
Yingying Zhang,2016
Desen Zhou,2016
Siqin Chen,2016
Shenghua Gao,2016
Yi Ma,2016
Long Qing Chen,2017
Hanwang Zhang,2017
Jun Xiao,2017
Liqiang Nie,2017
Jian Yong Shao,2017
Wei Liu,2017
Tat-Seng Chua,2017
Ariadna Quattoni,2009
Antonio Torralba,2009
Hyun Kyu Song,2016
Yu-Tao Xiang,2016
Stefanie Jegelka,2016
Silvio Savarese,2016
Konstantinos Bousmalis,2017
Nathan Silberman,2017
David Dohan,2017
Dumitru Erhan,2017
Dilip Krishnan,2017
Raviteja Vemulapalli,2014
Felipe Arrate,2014
Rama Chellappa,2014
Matthew D. Zeiler,2010
Dilip Krishnan,2010
Graham P. Taylor,2010
Rob Fergus,2010
Agrim Gupta,2018
Justin C. Johnson,2018
Li Fei-Fei,2018
Silvio Savarese,2018
Alexandre Alahi,2018
Martin Danelljan,2014
Fahad Shahbaz Khan,2014
Michael Felsberg,2014
Joost van de Weijer,2014
Lior Wolf,2011
Tal Hassner,2011
Itay Maoz,2011
Angjoo Kanazawa,2018
Michael J. Black,2018
David R. Jacobs,2018
Jitendra Malik,2018
Wanqing Li,2010
Zhengyou Zhang,2010
Zicheng Liu,2010
Holger Caesar,2020
Varun Bankiti,2020
Alex H. Lang,2020
Sourabh Vora,2020
Venice Erin Liong,2020
Qiang Xu,2020
Anush Krishnan,2020
Yu Pan,2020
Giancarlo Baldan,2020
Oscar Beijbom,2020
Gernot Riegler,2017
Ali Hakan Ulusoy,2017
Andreas Geiger,2017
Kevin Eykholt,2018
Ivan Evtimov,2018
Earlence Fernandes,2018
Bo Li,2018
Amir Rahmati,2018
Chaowei Xiao,2018
Atul Prakash,2018
Tadayoshi Kohno,2018
Dawn Song,2018
Ehsan Elhamifar,2009
René Vidal,2009
Lu Xia,2012
Chia-Chih Chen,2012
Jake K. Aggarwal,2012
Vijay Mahadevan,2010
Weixin Li,2010
Viral Bhalodia,2010
Nuno Vasconcelos,2010
Daniel Scharstein,2003
Richard Szeliski,2003
Hao Fang,2015
Saurabh Gupta,2015
Forrest Iandola,2015
Rupesh K. Srivastava,2015
Li Deng,2015
Piotr Dollár,2015
Jianfeng Gao,2015
Xiaodong He,2015
Margaret Mitchell,2015
John Platt,2015
C. Lawrence Zitnick,2015
Geoffrey Zweig,2015
Jack Valmadre,2017
Luca Bertinetto,2017
João Antonio Pêgas Henriques,2017
Andrea Vedaldi,2017
Philip H. S. Torr,2017
Deqing Sun,2010
Stefan Roth,2010
Michael J. Black,2010
Shuran Song,2015
Samuel P. Lichtenberg,2015
Jianxiong Xiao,2015
Junseok Kwon,2010
Kyoung Min Lee,2010
Simon Jégou,2017
Michal Drozdzal,2017
David Vazquez,2017
Adriana Romero,2017
Yoshua Bengio,2017
Seungjun Nah,2017
Tae Yong Kim,2017
Kyoung Min Lee,2017
Ejaz Ahmed,2015
Michael P. Jones,2015
Tim K. Marks,2015
Fisher Yu,2017
Vladlen Koltun,2017
Thomas Funkhouser,2017
Yi-Hsuan Tsai,2018
Wei-Chih Hung,2018
Samuel Schulter,2018
Kihyuk Sohn,2018
Ming-Hsuan Yang,2018
Manmohan Chandraker,2018
Aurèle J. L. Adam,2006
Ehud Rivlin,2006
Ilan Shimshoni,2006
Relja Arandjelovic,2012
Andrew Zisserman,2012
Qiang Zhang,2010
Baoxin Li,2010
Jiasen Lu,2017
Caiming Xiong,2017
Devi Parikh,2017
Richard Socher,2017
Heiko Hirschmüller,2005
Wangjiang Zhu,2014
Shuang Liang,2014
Yichen Wei,2014
Jian Sun,2014
Piotr Dollár,2009
Christian Wojek,2009
Bernt Schiele,2009
Pietro Perona,2009
Moses Rodriguez,2008
Jalal Uddin Ahmed,2008
M. A. Shah,2008
Haoxiang Li,2015
Zhe Lin,2015
Xiaohui Shen,2015
Jonathan Brandt,2015
Gang Hua,2015
Yunchao Gong,2011
Svetlana Lazebnik,2011
Charles R. Qi,2016
