Name,Year
A. Benson,1999
M. Hatch,1999
Douglas A. Abraham,1990
Norman L. Owsley,1990
B. Schlining,2006
Nancy Jacobsen Stout,2006
Wendy C. Cox,2008
Jim A. Simpson,2008
C.P. Domizioli,2008
John F. Muth,2008
Brett G.M. Hughes,2008
Justin Manley,1997
Lee Freitag,2001
Marvin Johnson,2001
M. Grund,2001
S. K. Singh,2001
James C. Preisig,2001
Yin-Jun Chen,2007
Haoli Wang,2007
Alejandro Palmeiro,2011
Manuel Martin,2011
Ian Crowther,2011
Mark Alan Rhodes,2011
T. Kojiya,2004
Fumie Sato,2004
Hidetoshi Matsuki,2004
Takafumi Sato,2004
D.R. Edgington,2003
K. A. Salamy,2003
M. Risi,2003
Robert R. Sherlock,2003
D. Walther,2003
Christof Koch,2003
K. Ishu,2004
T. van der Zant,2004
Vlatko Becanovic,2004
Paul G. Plöger,2004
Almir Davis,2012
Hwa Seok Chang,2012
Feijun Song,2000
Stephen M. Smith,2000
Nuno Gracias,2001
José Santos-Victor,2001
Sebastian Carreno,2010
Philip A. Wilson,2010
Pere Ridao,2010
Yvan Petillot,2010
Motoko Suzuki,1992
Takahiko Sasaki,1992
Takashi Tsuchiya,1992
Gerald L. D’Spain,1992
William S. Hodgkiss,1992
G.L. Edmonds,1992
J. C. Nickles,1992
F.H. Fisher,1992
R.A. Harriss,1992
Yang Zhang,2016
Shahriar Negahdaripour,2016
Qingzhong Li,2016
Ronald M. Hansen,2003
Torstein Olsmo Saebo,2003
Kenneth Gade,2003
Scott Chapman,2003
Milan Stojanovic,2000
Lee Freitag,2000
B.A.A.P. Balasuriya,1997
M. Takai,1997
W.C. Lam,1997
Tamaki Ura,1997
Yasuhiro Kuroda,1997
Eric T. Steimle,2006
Michael B. Hall,2006
K.F. Scussel,1997
J. E. Rice,1997
S. Merriam,1997
Brett Hobson,2007
R. McEwen,2007
Jon Erickson,2007
Thomas Hoover,2007
L. McBride,2007
F. Shane,2007
James G. Bellingham,2007
Davide Anguita,2011
Davide Brizzolara,2011
Giancarlo Parodi,2011
Qilong Hu,2011
M.B. Larsen,2000
H. Weinberg,1982
Thomas Butkiewicz,2014
Chiara Petrioli,2011
Roberto Petroccia,2011
John D. Potter,2011
A.P. Scherbatyuk,1995
J. C. Nickles,1992
G.L. Edmonds,1992
R.A. Harriss,1992
F.H. Fisher,1992
William S. Hodgkiss,1992
J. Giles,1992
Gerald L. D’Spain,1992
Morten Breivik,2005
Thor I. Fossen,2005
Stefano Basagni,2012
Chiara Petrioli,2012
Roberto Petroccia,2012
Daniele Spaccin,2012
Jim Simpson,2010
William J. Cox,2010
John R. Krier,2010
Brandon Cochenour,2010
Brian M. Hughes,2010
John F. Muth,2010
N.L. Brown,1974
Ali Abdi,2007
Huaihai Guo,2007
P. Sutthiwan,2007
Nathaniel Fairfield,2008
David Wettergreen,2008
Giuseppe Ateniese,2015
Angelo Capossele,2015
Petrika Gjanci,2015
Chiara Petrioli,2015
Daniele Spaccini,2015
Gerald J. Dobeck,2001
Brandon Cochenour,2006
L. Mullen,2006
Alan Laux,2006
T. Curran,2006
Mandar Chitre,2012
Iulian Topor,2012
Teong Beng Koay,2012
A. Essebbar,1994
G. Loubet,1994
F. Vial,1994
C. Aizieu,1986
Edward C. Carlson,2006
Pierre-Philippe Beaujean,2006
Edgar An,2006
J. Ehrenberg,1974
S.J. Chang,2004
D.K. Meduna,2008
Stephen M. Rock,2008
R. McEwen,2008
Milan Stojanovic,1998
J.G. Proarkis,1998
J.A. Rice,1998
M. Green,1998
G.P. Scott,1988
D.M. Burn,1988
L.J. Hansen,1988
Davide Anguita,2010
Davide Brizzolara,2010
Giancarlo Parodi,2010
D.J. O'Neill,1994
Nuno Cruz,2008
Jose Carlos Alves,2008
Zheng Peng,2009
Zhong Zhou,2009
Jun-Hong Cui,2009
Zhijie Shi,2009
J.I. Gobat,1998
Grosenbaugh,1998
Umesh A. Korde,2000
A. Kaya,1989
S. Yauchi,1989
Abdul Wahid,2011
Sungwon Lee,2011
Dongkyun Kim,2011
Hanwant B. Singh,1996
J. Catipovic,1996
R.L. Eastwood,1996
Lee Freitag,1996
H. Henriksen,1996
Franz S. Hover,1996
Dana R. Yoerger,1996
James G. Bellingham,1996
Brendan J. Moran,1996
Xiu Li,2015
Min Shang,2015
Hongwei Qin,2015
Chen Liansheng,2015
Young-Sik Shin,2016
Younggun Cho,2016
Gaurav Pandey,2016
Ayoung Kim,2016
Y. Huang,2002
Arif Sanli Ergun,2002
Edward Hæggström,2002
Butrus T. Khuri-Yakub,2002
Robert Panish,2011
Mikell Taylor,2011
J. Ehrenberg,1972
Shea Penland,1981
Ron Boyd,1981
Andrew D. Bowen,2008
Dana R. Yoerger,2008
C. Barr Taylor,2008
Robert McCabe,2008
Jonathan C. Howland,2008
Daniel Gomez-Ibanez,2008
J. E. Kinsey,2008
Matthew Heintz,2008
Graham S. McDonald,2008
Donald B. Peters,2008
