Name,Year,Gender
Hirofumi Tomiyama,2008,F
Shunsuke Honda,2008,F
Hiroaki Takada,2008,M
Keizo Ishii,2008,M
Ljupco Kocarev,1998,M
Goce Jakimoski,1998,M
Toni Stojanovski,1998,M
Ulrich Parlitz,1998,M
Jussi Vesma,1996,F
Tapio Saramaki,1996,M
A. Van den Bosch,2000,M
Michiel Steyaert,2000,M
Willy Sansen,2000,M
Kjersti Engan,1999,F
S.O. Aase,1999,M
John Hakon Husoy,1999,M
Yuankai Shi,2004,F
Zhicheng Ni,2004,M
Dekun Zou,2004,M
Chang-yin Liang,2004,M
Guorong Xuan,2004,M
David J. Hill,2006,M
Guanrong Chen,2006,M
Paolo Livi,2009,F
Giacomo Indiveri,2009,F
Zhizhen Wu,2016,M
Chuan Zhang,2016,M
Ye Xue,2016,F
Shugong Xu,2016,M
Xiaohu You,2016,F
Kento Hasegawa,2017,M
Masao Yanagisawa,2017,F
Nozomu Togawa,2017,M
Ayman Said,1993,M
William A. Pearlman,1993,M
Jiefu Zhai,2005,M
Keman Yu,2005,M
Jiang Li,2005,F
Shipeng Li,2005,F
Bodo Rueckauer,2018,M
Shih-Chii Liu,2018,F
Andrew G. Dempster,2002,M
S.S. Dimirsoy,2002,M
Izzet Kale,2002,M
Vladimir Aparin,2004,M
Gregory V. Brown,2004,M
Lawrence E. Larson,2004,M
Tu-Chih Wang,2003,M
Yu-Wen Huang,2003,M
Hung-Chi Fang,2003,F
Liang-Gee Chen,2003,F
Jun Inagaki,1999,F
Miki Haseyama,1999,F
Hiroko Kitajima,1999,F
Khurram Muhammad,2004,M
Rafal Staszewski,2004,M
T. Ritoniemi,1990,F
T. Karema,1990,F
Hannu Tenhunen,1990,F
Oscar Gustafsson,2002,M
Andrew G. Dempster,2002,M
Lars Wanhammar,2002,M
J. Steensgaard,1999,M
Heiko Purnhagen,2000,F
Nikolaus Meine,2000,M
R. Brennan,1998,M
T. Schneider,1998,M
Johannes Schemmel,2007,M
Daniel Brüderle,2007,M
Karlheinz Meier,2007,M
B. Ostendorf,2007,M
Chung-Jr Lian,2001,M
Kuan-Fu Chen,2001,M
Honghui Chen,2001,M
