Name,Year,Gender
Xinghao Ding,2014,M
Shuai Zheng,2011,M
Jianguo Zhang,2011,M
Kaiqi Huang,2011,M
Ran He,2011,M
Tieniu Tan,2011,F
Ruogu Fang,2010,M
Kevin Tang,2010,M
Noah Snavely,2010,M
Tsuhan Chen,2010,M
Mingming Yang,2000,M
Narendra Ahuja,2000,F
David J. Kriegman,2000,M
Annalisa Barla,2003,F
Francesca Odone,2003,F
Alessandro Verri,2003,M
Son Lam Phung,2002,M
Abdesselam Bouzerdoum,2002,M
Daniel Chai,2002,M
Alessandro Giusti,2013,M
Dan Ciresan,2013,M
Jonathan Masci,2013,M
Luca Maria Gambardella,2013,F
Jürgen Schmidhuber,2013,M
Dorin Comaniciu,2000,M
Vasanthi Ramesh,2000,M
Lei Li,2016,F
Xiaoyi Feng,2016,M
Zinelabidine Boulkenafet,2016,F
Zhaoqiang Xia,2016,F
Mingming Li,2016,M
Abdenour Hadid,2016,M
Caifeng Shan,2005,M
Shaogang Gong,2005,M
Peter W. McOwan,2005,M
Cosmin Ancuti,2016,F
Cosmin Ancuti,2016,F
Christophe De Vleeschouwer,2016,M
Asmaa Hosni,2009,F
Michael Bleyer,2009,M
Margrit Gelautz,2009,F
Christoph Rhemann,2009,M
N. Anantrasirichai,2013,M
Jeremy F. Burn,2013,M
David Bull,2013,M
Haigang Zhu,2015,F
Xiaogang Chen,2015,M
Weiqun Dai,2015,M
Kun Fu,2015,M
Qixiang Ye,2015,F
Jianbin Jiao,2015,M
Lei Zhang,2001,F
Fuzong Lin,2001,M
Bo Zhang,2001,M
Minerva M. Yeung,1995,F
Bede Liu,1995,F
Anil K. Jain,2002,M
Anthony Ross,2002,M
A. Secker,2001,F
David Taubman,2001,M
Steve Mann,1994,M
Rosalind W. Picard,1994,M
Kyungnam Kim,2004,F
Thanarat H. Chalidabhongse,2004,M
David M. Harwood,2004,M
Larry S. Davis,2004,M
Martin Kutter,1999,M
Sushil Bhattacharjee,1999,M
Touradj Ebrahimi,1999,M
Hui Li,1994,F
B.S. Manjunath,1994,M
Sanjit K. Mitra,1994,M
Lin Zhang,2012,M
Hongyu Li,2012,F
Min Wu,1998,M
Bede Liu,1998,F
Mark Robertson,1999,M
Sherri Borman,1999,F
Richard Mark Stevenson,1999,M
D.D. Muresan,2003,M
T.W. Parks,2003,M
Jessica Fridrich,1998,F
Suleyman S. Kozat,2004,M
Ramarathnam Venkatesan,2004,M
Mehmet Kivanc Mihcak,2004,M
Mei Chen,2009,F
Kapil Dhingra,2009,F
Wen Wu,2009,M
Lei Yang,2009,F
Rahul Sukthankar,2009,M
Jian Yang,2009,M
Adrian G. Bors,1996,M
Ioannis Pitas,1996,M
Dong Tian,2017,M
Hideaki Ochimizu,2017,M
Chen Feng,2017,M
Robert M. Cohen,2017,M
Anthony Vetro,2017,M
Erum Khan,2006,M
A. O. Akyiiz,2006,M
Erik Reinhard,2006,M
Zheng Wang,2006,M
Xiaodong Shang,2006,M
Michael D. Adams,2000,M
Faouzi Kossentini,2000,M
Mário A. T. Figueiredo,2005,M
R. J. Nowak,2005,M
Lin Zhang,2010,M
Lei Zhang,2010,F
Xuanqin Mou,2010,F
Yonggang Qi,2016,F
Yi-Zhe Song,2016,F
Honggang Zhang,2016,M
Jun Liu,2016,M
Aljosa Smolic,2008,M
Klaus-Robert Müller,2008,M
K Dix,2008,M
P. Merkle,2008,M
Peter Kauff,2008,M
Thomas Wiegand,2008,M
Houyang Guo,1994,M
J.E. Odegard,1994,M
M. Lang,1994,M
Ramesh A. Gopinath,1994,F
Ivan Selesnick,1994,M
C.S. Burrus,1994,M
Thiow Keng Tan,2006,M
Choong Seng Shatomorioka Boon,2006,M
Yasuhiro Suzuki,2006,F
Xavier Marichal,1999,M
Wei-Ying Ma,1999,F
Hong-Jiang Zhang,1999,M
Radhakrishna Achanta,2009,F
Sabine Süsstrunk,2009,F
Jinhwan Kim,2013,M
Chul Hee Lee,2013,F
Jae-Young Sim,2013,M
Chang-Su Kim,2013,F
Laurenz Wiskott,1997,M
Jean Marc Fellous,1997,M
Norbert Krüger,1997,M
Christoph von der Malsburg,1997,M
Cha Zhang,2014,F
Dinei Florencio,2014,M
Charles Loop,2014,M
Mingyi He,2017,F
Bo Li,2017,F
Huahui Chen,2017,M
Vishal M. Patel,2014,M
René Vidal,2014,M
Eero P. Simoncelli,1998,F
Javier Portilla,1998,M
Hui Yu,2002,F
Mingjing Li,2002,F
Hong-Jiang Zhang,2002,M
Jufu Feng,2002,M
Luis Torres,1999,M
J.Y. Reutter,1999,M
Leonardo Lorente,1999,M
Anne Aaron,2004,F
Shantanu Rane,2004,F
Bernd Girod,2004,M
Behcet Ugur Toreyin,2005,M
Yiğithan Dedeoğlu,2005,M
A. Enis Cetin,2005,F
Peggy Subirats,2006,F
Jean Dumoulin,2006,M
Vincent Legeay,2006,M
Dominique Barba,2006,F
Gerasimos Potamianos,1998,M
Hans Peter Graf,1998,M
Eric Cosatto,1998,M
J. G. Smith,1995,M
Shih-Fu Chang,1995,M
Alberto Albiol,2001,M
Luis Torres,2001,M
Edward J. Delp,2001,M
Victoria Yanulevskaya,2008,F
Jan C. van Gemert,2008,M
K. Roth,2008,M
Ann-Katrin Herbold,2008,F
Nicu Sebe,2008,M
Jan-Mark Geusebroek,2008,M
George Voyatzis,1996,F
Ioannis Pitas,1996,M
Peng Yin,2003,M
H.-Y.C. Tourapis,2003,M
Alexis Michael Tourapis,2003,M
Jill Macdonald Boyce,2003,M
Lin Zhang,2009,M
Lei Zhang,2009,F
Yu Wang,2019,M
Quan Zhou,2019,M
Jia Liu,2019,F
Jian Xiong,2019,M
Guangwei Gao,2019,M
Xiaofu Wu,2019,M
Longin Jan Latecki,2019,M
Lex Schaul,2009,M
Clément Fredembach,2009,M
Sabine Süsstrunk,2009,F
Abhishek Gangwar,2016,M
Akanksha Joshi,2016,M
Yongjian Yu,2006,M
Joseph Yadegar,2006,M
Xinxin Hu,2019,M
Kailun Yang,2019,M
Lei Fei,2019,F
Kaiwei Wang,2019,M
Milind Naphade,1998,M
Trausti Kristjansson,1998,M
Benjamin Frey,1998,M
Thomas S. Huang,1998,M
Sebastian Bosse,2016,M
Dominique Maniry,2016,M
Thomas Wiegand,2016,M
Wojciech Samek,2016,M
Vivek K Goyal,1998,M
Jelena Kovacevic,1998,M
Ramon Arean,1998,M
Michel Vetterli,1998,F
Chong Shang,2016,M
Haizhou Ai,2016,F
Bo Bai,2016,M
Heiko Schwarz,2006,M
Detlev Marpe,2006,M
Thomas Wiegand,2006,M
Alexander Wong,2008,M
Jeff Orchard,2008,M
Yan Ye,2008,F
Marta Karczewicz,2008,M
Lin Zhang,2012,M
Lei Zhang,2012,F
Xuanqin Mou,2012,F
S. Cheng,1998,M
Wei Chen,1998,M
Hari Sundaram,1998,M
C. Papageorgiou,1999,M
Tomaso Poggio,1999,M
Thomas Wolf,2016,M
Mohammadreza Babaee,2016,M
Gerhard Rigoll,2016,M
Anne Aaron,2003,F
Eric Setton,2003,M
Bernd Girod,2003,M
Ming-Hsuan Yang,1998,M
Narendra Ahuja,1998,F
Zi-Kun Liu,2017,M
Jin-gao Hu,2017,M
Lubin Weng,2017,M
Yiping Yang,2017,M
Xinhao Liu,2012,M
Masayuki Tanaka,2012,M
Masatoshi Okutomi,2012,F
Jessica Fridrich,1999,F
Miroslav Goljan,1999,M
Eiji Kasutani,2001,F
Akimasa Yamada,2001,F
Amol Borkar,2009,M
Monson H. Hayes,2009,M
Mark A. Smith,2009,M
David J. Heeger,1995,M
J. R. Bergen,1995,M
Brian D. M. Tom,1995,M
Aggelos K. Katsaggelos,1995,M
Zdenek Kalal,2010,M
Krystian Mikolajczyk,2010,M
Jiri Matas,2010,M
Wooshik Kim,2009,M
Antonio Ortega,2009,M
Po-Lin Lai,2009,F
Dong Tian,2009,M
Cristina Gomila,2009,F
Eun Lee,1994,F
Pyeoung Kee Kim,1994,M
Hang Joon Kim,1994,M
Clayton Brian Atkins,2001,M
Charles A. Bouman,2001,M
Jan P. Allebach,2001,M
Laure J. Chipman,1995,M
Timothy M. Orr,1995,M
Lewis N. Graham,1995,M
Lingke Zeng,2017,F
Xiangmin Xu,2017,M
Bolun Cai,2017,M
Suo Qiu,2017,M
Tong Zhang,2017,M
Amy R. Reibman,1999,M
H. Jafarkhani,1999,M
Yao Wang,1999,M
Michael T. Orchard,1999,M
Ruchir Puri,1999,M
D.M. Thodi,2004,M
Jorge Luis Rodriguez,2004,M
Michael T. Orchard,1997,M
Yu Wang,1997,M
Vinay A. Vaishampayan,1997,F
Amy R. Reibman,1997,M
Alhussein Fawzi,2016,M
Horst Samulowitz,2016,M
Deepak S. Turaga,2016,M
Pascal Frossard,2016,M
William H. Nailon,1996,M
Stephen McLaughlin,1996,M
Thomas J. Spencer,1996,M
M.P. Ramo,1996,M
Samet Akcay,2016,M
Mikolaj E. Kundegorski,2016,M
Michael B. Devereux,2016,M
Toby P. Breckon,2016,M
Bruno Peixoto,2011,M
Carolina Michelassi,2011,F
Anderson Rocha,2011,M
F. Mintzer,1997,M
Gordon W. Braudaway,1997,M
Minerva M. Yeung,1997,F
Jin Wang,2006,M
Yanwen Guo,2006,F
Yiting Ying,2006,F
Yanli Liu,2006,F
Qunsheng Peng,2006,M
Chen Change Loy,2013,M
Chunxiao Liu,2013,M
Shaogang Gong,2013,M
Karin Sobottka,1996,F
Ioannis Pitas,1996,M
Minh N. Do,2001,M
Martin Vetterli,2001,F
Ara V. Nefian,1998,M
Monson H. Hayes,1998,M
Lin Zhang,2013,M
Zhongyi Gu,2013,M
Hongyu Li,2013,F
Etienne Loupias,2000,M
Nicu Sebe,2000,M
S. Bres,2000,M
Jean-Michel Jolion,2000,M
Jessica Fridrich,2000,F
Miroslav Goljan,2000,M
A.C. Baldoza,2000,F
Zhouyu Fu,2005,M
Weiming Hu,2005,M
Tieniu Tan,2005,F
Lin Li,2015,F
Ronggang Wang,2015,M
Wenmin Wang,2015,M
Wen Gao,2015,M
