Name,Year,Gender
Zhen-Tao Liu,2016,M
Fangfang Pan,2016,M
Min Wu,2016,M
Weihua Cao,2016,M
Luefeng Chen,2016,M
Jianping Xu,2016,F
Ri Zhang,2016,F
Mengtian Zhou,2016,M
Weijie Tang,2017,M
Zhen-Tao Liu,2017,M
Qian Wang,2017,M
Zhen Zhang,2018,M
Jianying Zheng,2018,M
Xiang Wang,2018,M
Xueliang Fan,2018,M
Zhou Weidong,2015,M
Zhu Pengxiang,2015,M
Wang Chang-long,2015,M
Chu Hong Min,2015,M
Wang Qiu,2015,M
Qu Ting,2015,F
Yu Shuyou,2015,F
Guo Hongyan,2015,M
Chen-Jee Hong,2015,M
Cheng Hui,2013,F
Chen Yousheng,2013,F
Li Xiaokun,2013,F
Wong Wing Shing,2013,M
Nachi Gupta,2006,F
Shen Zhao,2014,M
Li Sun,2014,F
Donghai Li,2014,F
Zhiqiang Gao,2014,M
Zijian Zhou,2014,M
Xiaobin Tan,2014,M
Hebi Li,2014,F
Zhifan Zhao,2014,M
Dianbo Ma,2014,F
Wu Jianyong,2006,M
Tang Hou-jun,2006,M
Li Shaoyuan,2006,M
Fang Wan,2006,M
Duan Guang-ren,2014,M
Zhang Yachen,2008,F
Hu Yueming,2008,M
Wei Xu,2016,M
Haiyan Zhao,2016,M
Bingtao Ren,2016,M
Hong Chen,2016,M
Chunxiao Ding,2016,M
Na-Na Tao,2016,F
Yuanguo Zhu,2016,F
Yuan Xie,2018,F
Tao Zhang,2018,M
Li Weixing,2015,M
Su Haijun,2015,M
Pan Feng,2015,M
Gao Qi,2015,F
Quan Bin,2015,M
Cunjia Liu,2015,F
Hao Lu,2015,M
Wen-Hua Chen,2015,M
Kai Sun,2011,M
Qifang Shu,2011,M
Zhong-Hua Pang,2010,M
Guo-Ping Liu,2010,M
Zhixin Liu,2006,F
Lei Guo,2006,M
Lennart Ljung,2010,M
Zhizhang Pan,2016,M
Bo Yang,2016,M
Cailian Chen,2016,F
Xinping Guan,2016,M
Tian Wenfeng,2018,M
Jun Li,2018,F
Hongguang Li,2018,M
Hamza Khan,2018,M
Cai Yunze,2018,F
Hao Wang,2019,M
Guodong Yang,2019,M
En Li,2019,F
Yunong Tian,2019,M
Meng Zhao,2019,M
Zize Liang,2019,M
Zhang Shang-yue,2015,M
Liu Yuan-yuan,2015,M
Yang Gongliu,2015,M
Jiangping Hu,2011,M
Guanrong Chen,2011,M
Han-Xiong Li,2011,M
Jing Na,2013,F
Muhammad Nasiruddin Mahyuddin,2013,M
Guido Herrmann,2013,M
Xuemei Ren,2013,M
Sun Mingxuan,2006,F
He Xiongxiong,2006,M
Rafal Madonski,2014,M
Marcin Nowicki,2014,M
Przemyslaw Herman,2014,M
Meiqi Liu,2014,F
Bo Wang,2014,M
Zhi-Hong Deng,2014,M
Mengyin Fu,2014,M
Xiaoping Bai,2014,F
Xiangzhou Wang,2014,F
Shuhua Zheng,2014,M
Mingxin Yu,2014,F
Chen Guangyi,2006,F
Guo Wei,2006,M
Huang Kaisheng,2006,M
Enrico Canuto,2014,M
Carlos Antonio Barbosa Montenegro,2014,M
Luigi Colangelo,2014,M
Mauricio Alejandro Lotufo,2014,M
