Name,Year
John W.B. Hershey,2016
Shinji Watanabe,2016
Michael I. Mandel,2016
Jonathan Le Roux,2016
Kaisheng Yao,2013
Geoffrey Zweig,2013
Mei-Yuh Hwang,2013
Yangyang Shi,2013
Dong Yu,2013
Hasim Sak,2015
Andrew W. Senior,2015
Kanishka Rao,2015
Francoise Beaufays,2015
Douglas A. Reynolds,1997
J. Ang,2002
Rajdip Dhillon,2002
Ashley Krupski,2002
Elizabeth Shriberg,2002
Andreas Stolcke,2002
Rohit Prabhavalkar,2017
Kanishka Rao,2017
Tara N. Sainath,2017
Bo Li,2017
Leif Johnson,2017
Navdeep Jaitly,2017
George Saon,2017
Gakuto Kurata,2017
Tom Sercu,2017
Kartik Audhkhasi,2017
Samuel Thomas,2017
Dimitrios Dimitriadis,2017
Xiaodong Cui,2017
Bhuvana Ramabhadran,2017
Michael Picheny,2017
Lynn-Li Lim,2017
Bergul Roomi,2017
Phil Hall,2017
Alan W. Black,1997
Paul D. Taylor,1997
Brian Kingsbury,2012
Tara N. Sainath,2012
Hagen Soltau,2012
Triantafyllos Afouras,2018
Joon Son Chung,2018
Andrew Zisserman,2018
Dong Yu,2011
Michael L. Seltzer,2011
Yu-An Chung,2019
Wei-Ning Hsu,2019
Michael B. Hall,2019
James Glass,2019
Ossama Abdel-Hamid,2013
Li Deng,2013
Dong Yu,2013
Se Rim Park,2017
Jin Yong Lee,2017
Stephanie Seneff,1998
Edward J. Hurley,1998
Raymond Y. K. Lau,1998
Christine Pao,1998
Philipp Schmid,1998
Victor W. Zue,1998
Navdeep Jaitly,2012
Patrick Nguyen,2012
Andrew W. Senior,2012
Vincent Vanhoucke,2012
Mitchell McLaren,2016
Luciana Ferrer,2016
Diego Castan,2016
Aaron Lawson,2016
Sylvain Galliano,2005
Edouard Geoffrois,2005
Djamel Mostefa,2005
Khalid Choukri,2005
Jean-François Bonastre,2005
Guillaume Gravier,2005
Chanwoo Kim,2017
Ananya Misra,2017
K. K. Chin,2017
Thad Hughes,2017
Arun Narayanan,2017
Tara N. Sainath,2017
Michiel Bacchiani,2017
Alex Acero,2000
Li Deng,2000
Trausti Kristjansson,2000
Jerry Zhang,2000
Christoph Tillmann,1997
Stephan Vogel,1997
Hermann Ney,1997
A. Zubiaga,1997
Hassan Sawaf,1997
Jin-Kyu Lee,2015
Ivan Tashev,2015
John H. L. Hansen,1998
Bryan L. Pellom,1998
Fabrice Plante,1995
Georg Meyer,1995
William A. Ainsworth,1995
Hagen Soltau,2017
Hank Liao,2017
Hasim Sak,2017
Marc Schröder,2001
Gabriel Murray,2005
Steve Renals,2005
Jean Carletta,2005
David Miller,2007
Michael Kleber,2007
Chia-Lin Kao,2007
Owen Kimball,2007
Thomas Colthurst,2007
Stephen T. Lowe,2007
Richard H. Schwartz,2007
Herbert Gish,2007
Yeshwant K. Muthusamy,1992
Ronald A. Cole,1992
Beatrice T. Oshika,1992
Lidia Mangu,1999
Eric D. Brill,1999
Andreas Stolcke,1999
Galina Lavrentyeva,2017
Sergey Novoselov,2017
Egor Malykh,2017
Alexander Kozlov,2017
Oleg Kudashev,2017
Vadim Shchemelinin,2017
George R. Doddington,2001
Gregory Sell,2018
David Snyder,2018
Alan V. McCree,2018
Daniel Garcia-Romero,2018
Jesús Villalba,2018
Matthew Maciejewski,2018
Vimal Manohar,2018
Najim Dehak,2018
Daniel Povey,2018
Shinji Watanabe,2018
