Name,Year
Cham Oh,2006
Bedoor K. AlShebli,2006
Marco Caccamo,2006
Carl A. Gunter,2006
Elsa L. Gunter,2006
Jennifer C. Hou,2006
Karrie Karahalios,2006
Lui Sha,2006
T. A. Shibata,1997
Michitoshi Yoshida,1997
Junji Yamato,1997
Anand J. Kulkarni,2013
Ishan Durugkar,2013
Mrinal Kumar,2013
Wang Wei-Ning,2006
Yu Yinglin,2006
Jiang Sheng-ming,2006
Zhang Yun-peng,2009
Liu Wei,2009
Cao Shui-ping,2009
Zhai Zheng-jun,2009
Nie Xuan,2009
Dai Wei-di,2009
Hiroshi Kobayashi,1997
Fumio Hara,1997
Nicole Giullian,2010
Daniel Ricks,2010
Alan Atherton,2010
Mark B. Colton,2010
Michael T. Goodrich,2010
Bonnie Brinton,2010
Mitsuo Gen,1994
Yasuhiro Tsujimura,1994
Erika Kubota,1994
D.J. Ragsdale,2000
Curtis A. Carver,2000
Jeffrey W. Humphries,2000
Udo W. Pooch,2000
Z.-B. Tang,1990
Krishna R. Pattipati,1990
David L. Kleinman,1990
Gwo-Ruey Yu,2004
Ren-Hung Hwang,2004
Sajjad Haider,2000
Ahmed Abbas,2000
Aijaz A. Zaidi,2000
Pierre-Olivier Malaterre,1998
Jean-Pierre Baume,1998
Hideaki Katagiri,2000
K. Hirasama,2000
J. F. Hu,2000
Jay N. Cohn,2004
Lawrence Ian Reed,2004
Zara Ambadar,2004
Jing Xiao,2004
Takahiro Moriyama,2004
F. Saitoh,1999
J. Shu Yue,2000
E. Tsang,2000
Daniel S. Yeung,2000
Daming Shi,2000
Manu S. Goyal,2017
Moi Hoon Yap,2017
Neil D. Reeves,2017
Satyan Rajbhandari,2017
Jennifer Spragg,2017
Jukka Häkkinen,2002
Tero Vuori,2002
M. Paakka,2002
Rami I. Debouk,1998
Stéphane Lafortune,1998
Demosthenis Teneketzis,1998
Hesam Sagha,2011
Sundara Tejaswi Digumarti,2011
José del R. Millán,2011
Ricardo Chavarriaga,2011
Alberto Calatroni,2011
Daniel Roggen,2011
Gerhard Tröster,2011
Gulisong Nasierding,2009
Grigorios Tsoumakas,2009
Abbas Z. Kouzani,2009
Stan Franklin,1998
A. Kelemen,1998
Lee McCauley,1998
George I. Evers,2009
Mounir Ben Ghalia,2009
R. Brits,2002
Andries P. Engelbrecht,2002
F. van den Bergh,2002
Yasuhiko Yamada,1999
Hitoshi Konosu,1999
T. Morizono,1999
Y. Umetani,1999
Surachai Suksakulchai,2000
Siripun Thongchai,2000
Don Mitchell Wilkes,2000
Kimitaka Kawamura,2000
Parham M. Kebria,2016
Saba Al-Wais,2016
Hamid Abdi,2016
Saeid Nahavandi,2016
K. M. Idriss Ali,2005
Charles A. Vanelli,2005
Jeffrey J. Biesiadecki,2005
Mark Maimone,2005
Yang Cheng,2005
A. Miguel San Martin,2005
J. P. Alexander,2005
Dipankar Dasgupta,2000
Fernando Niño,2000
Y.-X. Lim,2003
T.S. Yer,2003
John G. Levine,2003
Hywel Owen,2003
Maja Pantic,2005
Ioannis Patras,2005
Dae-Ki Kang,2005
D. Fuller,2005
Vasant Honavar,2005
S. Menet,1990
P. Saint-Marc,1990
Gerard Medioni,1990
Christian Freksa,1992
K.L. Zimmermann,1992
Kiichi Sagawa,2000
Hikaru Inooka,2000
Yuhki Satoh,2000
S. Krasser,2005
Geraldine Conti,2005
J.B. Grizzard,2005
J. Gribschaw,2005
Hywel Owen,2005
Yarden Livnat,2005
James Agutter,2005
Shaun Moon,2005
Robert F. Erbacher,2005
Stefano Foresti,2005
David Brown,1998
Y.C. Shiu,1989
Salahuddin Ahmad,1989
R. Zimmerman,2004
X. Y. Gao,1996
X. Y. Gao,1996
Seppo J. Ovaska,1996
Raffaele Carli,2013
Mariagrazia Dotoli,2013
Roberta Pellegrino,2013
Luigi Ranieri,2013
Yongqiang Wu,2012
Maolin Tang,2012
W. Barrie Fraser,2012
Ai Qun Liu,2005
C. Martin,2005
T. Hetherington,2005
S. Matzner,2005
Dongxiang Zhou,2005
Hong Zhang,2005
Jamilson Dantas,2012
Rubens Matos,2012
Jean Araujo,2012
Paulo Maciel,2012
Motoko Suzuki,2000
Taichi Kato,2000
Nobuyuki Otsu,2000
Kyungnam Kim,1999
R.S. Ramakrishna,1999
T. Tojo,2000
Yosuke Matsusaka,2000
T. Ishii,2000
T. Kobayashi,2000
D. Nishikawa,1999
Wenwei Yu,1999
Hiroshi Yokoi,1999
Yukinori Kakazu,1999
Keishu Yasuda,2003
A. Ide,2003
Norimasa Iwasaki,2003
Rafal Mantiuk,2004
Karol Myszkowski,2004
Hans-Peter Seidel,2004
David J. Fleet,1994
J.E. Cabral,2004
E.M. Gontijo,2004
Li Zeng,2006
Li Da Xu,2006
Zhongzhi Shi,2006
Maoguang Wang,2006
Wenjuan Wu,2006
Marie Chan,1995
C. Hariton,1995
P. Ringeard,1995
Eric Campo,1995
Hakan Elçi,1994
Richard W. Longman,1994
Minh Q. Phan,1994
Jer-Nan Juang,1994
R. Ugoletti,1994
Mouloud Denai,2004
F. Palis,2004
Abdelhafid Zeghbib,2004
Guo Jun,2016
K. G. Smitha,2016
Kenya Shimada,2006
Kotaro Hirasawa,2006
Jinglu Hu,2006
Martin Karresand,2006
Nahid Shahmehri,2006
W. Nelson,1991
Eyal Kishon,1991
J. A. Tenreiro Machado,1998
Abílio Azenha,1998
Subramanya Nageshrao,2019
H. Eric Tseng,2019
Dimitar Petrov Filev,2019
S. Endoh,1998
Naruaki Toma,1998
Kohta Yamada,1998
Ahmed A. A. Esmin,2002
Alexandre Rasi Aoki,2002
Germano Lambert-Torres,2002
Sea Ling,2000
Hans Rudolf Schmidt,2000
A Tharumarajah,1998
A. Wells,1998
L. Nemes,1998
Yan Pei,2012
Shaoqiu Zheng,2012
Ying Tan,2012
Hideyuki Takagi,2012
Laurance D. Hall,1998
Nikhilesh Chawla,1998
Kevin W. Bowyer,1998
Emanuela Gadelha Cartaxo,2007
Francisco Gomes de Oliveira Neto,2007
Patrícia D. L. Machado,2007
Peter Baranyi,1996
Tom Gedeon,1996
László T. Kóczy,1996
S. H. Lee,2002
Yoshiyuki Sankai,2002
Duc Truong Pham,1993
S. H. Oh,1993
Joost C. F. de Winter,2011
Dimitra Dodou,2011
Timothy Masters,1997
Walker H. Land,1997
Masato Noto,2000
Haruo Sato,2000
P.C. Leger,2005
Ashitey Trebi-Ollennu,2005
John Wright,2005
Shawn Maxwell,2005
R.G. Bonitz,2005
Jeffrey J. Biesiadecki,2005
Frank A. Hartman,2005
B. D. Cooper,2005
Eric T. Baumgartner,2005
Mark Maimone,2005
X. F. Wang,2004
X. Y. Gao,2004
Seppo J. Ovaska,2004
Murat Dikmen,2017
Catherine M. Burns,2017
Y. Takei,2005
Yoshimi Furukawa,2005
Asmaa Mountassir,2012
Houda Benbrahim,2012
Ilham Berrada,2012
Bastian Hartmann,2010
Norbert Link,2010
Phillip L. Walker,2012
Steven Nunnally,2012
Michael Lewis,2012
Andreas Kolling,2012
Nilanjan Chakraborty,2012
Katia Sycara,2012
Eyhab Al-Masri,2009
Qusay H. Mahmoud,2009
M.E. Meda,1998
A. Ramirez,1998
A. Malo,1998
Yi Lin,2004
Sifeng Liu,2004
Daniel A. DeLaurentis,2005
John Whipple,2009
William Arensman,2009
Marian Starr Boler,2009
Dipti Srinivasan,1995
M.A. Lee,1995
Aryuanto Soetedjo,2005
Koichi Yamada,2005
Firat Tekiner,2013
John A. Keane,2013
Misao Sasaki,1998
Kazuyuki Kita,1998
J. Funda,1990
Richard P. Paul,1990
John Hunt,1995
Denise E. Cooke,1995
Pedro Faria,2010
Zita Vale,2010
Judite Ferreira,2010
Tae Yong Kim,2009
Chris Manzie,2009
Rahul Sharma,2009
Bertrand Tondu,1994
Vincent Boitier,1994
P. Lopez,1994
Paul J. Werbos,1996
Xiaozhong Pang,1996
Hiroyuki Yoshida,1999
Yukio Fukuyama,1999
Sadatsugu Takayama,1999
Yoichiro Nakanishi,1999
Pavel Krömer,2011
Jan Platos,2011
Vaclav Snasel,2011
Ajith Abraham,2011
Kakin K. Tsoi,2010
Mark Mulder,2010
David A. Abbink,2010
Andrew Duchon,1994
William L. Warren,1994
John Meurig Thomas,2017
Tomasz Maszczyk,2017
Nishant Sinha,2017
Tilmann Kluge,2017
Justin Dauwels,2017
Tony Y. T. Chan,2002
Laleh Makarem,2012
Denis Gillet,2012
Wang JiCheng,1999
Huang Yuan,1999
WU Gangshan,1999
Zhang Fu-yan,1999
Cesar Bandera,1989
Peter D. Scott,1989
Takafumi Sato,1997
Masayuki Hagiwara,1997
Mohan M. Trivedi,2000
Huang Kohsia,2000
I. Mikic,2000
R.R. Pai,2003
Venkata R. Kallepalli,2003
Reggie J. Caudill,2003
MengChu Zhou,2003
W.J. Adams,2005
Nathaniel J. Davis,2005
Jaeeun Shim,2013
Ronald C. Arkin,2013
Hiroyasu Koshimizu,1999
M. Tominaga,1999
T. Fujiwara,1999
Koichi Murakami,1999
Parham Aarabi,2001
D. Hughes,2001
K. Mohajer,2001
M. Emami,2001
Iman Kamkar,2010
Mohammad-R. Akbarzadeh-T,2010
Mahdi Yaghoobi,2010
Alexander Hogenboom,2011
Paul van Iterson,2011
Bas Heerschop,2011
Flavius Frasincar,2011
Uzay Kaymak,2011
Horst-Michael Gross,2012
Ch. Schroeter,2012
Steffen Mueller,2012
Michael Volkhardt,2012
Erik Einhorn,2012
Andreas Bley,2012
T. Langner,2012
Matthias Merten,2012
Claire Huijnen,2012
H. van den Heuvel,2012
A. van Berlo,2012
Ryan E. Schoonmaker,2006
Caroline G. L. Cao,2006
K. Ishino,2003
Masafumi Hagiwara,2003
Yan Li,2006
Zheru Chi,2006
David Dagan Feng,2006
K.L. Su,2006
Christophe Wakim,2004
S. Capperon,2004
J. Oksman,2004
Sheng-Fuu Lin,2006
Yung-Yao Chen,2006
Sungchieh Liu,2006
Dongrui Wu,2014
Brent J. Lance,2014
Vernon J. Lawhern,2014
Manish Saggar,2004
Alok Agrawal,2004
Abhimanyu Lad,2004
James A. Momoh,1989
Janis A. Bubenko,1993
Benkt Wangler,1993
Mohamed I. Attia,2017
Abbas Khosravi,2017
Saeid Nahavandi,2017
Hamed Asadi,2017
Junhai Zhai,2018
Sufang Zhang,2018
Jun-Fen Chen,2018
Qiang He,2018
Evren Sahin,2002
Yves Dallery,2002
Stanley B. Gershwin,2002
Zan Huang,2006
Dechang Zeng,2006
Sumin Zhang,2013
Weiwen Deng,2013
Qingrong Zhao,2013
Hao Sun,2013
Bakhtiar Brian Litkouhi,2013
Zisheng Li,2009
Jun-ichi Imai,2009
Masahide Kaneko,2009
B. Douglas Smith,1994
Michael J Demetsky,1994
Trevor Hastie,1991
E. Kishon,1991
M. Clark,1991
Jiawei Fan,1991
S. Thongchai,2000
Surachai Suksakulchai,2000
Don Mitchell Wilkes,2000
Nilanjan Sarkar,2000
Una-May O'Reilly,1997
Riyad Alshammari,2007
A. Nur Zincir-Heywood,2007
H.K. Keskinpala,2003
James H. Adams,2003
Kimitaka Kawamura,2003
K. Suzuki,2005
Yoshihito Kawamura,2005
T. Hayashi,2005
Toshio Sakurai,2005
Yoji Hasegawa,2005
Yoshiyuki Sankai,2005
Jon Timmis,1999
Mark Neal,1999
John Hunt,1999
M.P. Helme,1992
Zoran Stojanovic,2004
Ajantha Dahanayake,2004
Henk Sol,2004
R.T. Pack,1997
Don Mitchell Wilkes,1997
G. Kawamura,1997
Fernando Tricas,1995
J. Martinez,1995
N. Vlassis,2004
R. Elhorst,2004
Jelle R. Kok,2004
William Barnett,1994
Adrien Presley,1994
M. Johnson,1994
Donald H. Liles,1994
Charles B. Keating,2005
H.E. Fawal,1998
Didier Georges,1998
Guy Bornard,1998
T. A. Shibata,1999
T. Tashima,1999
Kazuo Tanie,1999
Chia-Ju Wu,1999
Guan-Ya Lin,1999
Hsu-Chih Huang,2012
Chien-Po Chen,2012
Peiru Wang,2012
Wei-Neng Chen,2012
Jun Zhang,2012
Xin Lu,2010
Shuang-Hua Yang,2010
Giancarlo Fortino,2009
Antonio Guerrieri,2009
Fabio Bellifemine,2009
Roberta Giannantonio,2009
Ai Qun Liu,1995
S. Chang,1995
C. Martin Perez,2001
A. Palma,2001
Carsten Holzmann,2001
Christian Pena,2001
Sanna Kallio,2003
Juha Kela,2003
Jani Mäntyjärvi,2003
W. Kim,1991
Antal K. Bejczy,1991
Adam R. Brandt,2010
Mark B. Colton,2010
Erol Gelenbe,1993
V. Koubi,1993
Ferhan Pekergin,1993
Rahul Paul,2016
Samuel D. Hawkins,2016
Lawrence J. Hall,2016
Dmitry B. Goldgof,2016
Robert J. Gillies,2016
François Michaud,2003
A. Duquette,2003
I. Nadeau,2003
Juan Castro-Gutierrez,2011
Dario Landa-Silva,2011
Jose Perez,2011
Mostafa K. Mohamed,2012
Behrouz H. Far,2012
Amr Guaily,2012
Jeffrey M. Stanton,2003
Kathryn R. Stam,2003
Indira R. Guzman,2003
C. Caledra,2003
Volkan Tuzcu,2005
Selman Nas,2005
Keith W. Hipel,1993
Liping Fang,1993
D. Marc Kilgour,1993
M. Haight,1993
E. Sahin,2002
Thomas Halva Labella,2002
Vito Trianni,2002
Jean-Louis Deneubourg,2002
Paul Rasse,2002
Dario Floreano,2002
Luca Maria Gambardella,2002
Francesco Mondada,2002
Stefano Nolfi,2002
M. Dorigo,2002
Edward Balas,2005
Camilo H. Viecco,2005
Aaron Sloman,1998
Anas Fattouh,2004
M'hammed Sahnoun,2004
Guy Bourhis,2004
Vlad C. Coroama,2004
Jürgen Bohn,2004
Friedemann Mattern,2004
John Dill,1994
Lyn Bartram,1994
A. Ho,1994
Frank Henigman,1994
O. Uncu,2006
William A. Gruver,2006
Dilip B. Kotak,2006
D. Sabaz,2006
Z. Alibhai,2006
Colin Ng,2006
Giancarlo Fortino,2015
Antonio Guerrieri,2015
Wilma Russo,2015
Claudio Savaglio,2015
Jingbin Wang,2015
Haoxiang Wang,2015
Yi-Hua Zhou,2015
Nancy McDonald,2015
Hiromichi Nakashima,2005
Toshifumi Mukai,2005
Nojeong Heo,2003
Pramod K. Varshney,2003
D. Abbott,1998
I. Philip Matkovsky,1998
J.F. Elder,1998
R. K. Rowe,2005
K.A. Nixon,2005
Sean P. Corcoran,2005
Motohiro Miki,2006
Hiroyuki Orita,2006
S. H. Wake,2006
Tomoyuki Hiroyasu,2006
Teruyoshi Yamaguchi,2006
Keiichiro Yasuda,2006
Aniruddha Sinha,2013
Kingshuk Chakravarty,2013
F.C. Teng,2000
Thomas B. Sheridan,1995
R. El Kaliouby,2004
Peter Robinson,2004
O. Gursesli,2003
Alan A. Desrochers,2003
Kaylee Moser,2014
Jesse Harder,2014
Simon G. M. Koo,2014
Horst-Michael Gross,2011
Ch. Schroeter,2011
Steffen Mueller,2011
Michael Volkhardt,2011
Erik Einhorn,2011
Andreas Bley,2011
T. Langner,2011
Ch. A. Martin,2011
Matthias Merten,2011
Michael T. Goodrich,2011
Brian F. Pendleton,2011
Yun-Hui Liu,2011
Jose R. Pinto,2011
Fagner das Neves de Oliveira,2011
Luis Enrique Zárate,2011
Marcos de Azevedo Reis,2011
Cristiane Neri Nobre,2011
Jiayi Zhou,2010
Kun-Ming Yu,2010
Bin-Chang Wu,2010
Nia-Chiang Liang,2006
Ping-Chieh Chen,2006
Tony Sun,2006
Guang Yang,2006
Lijuan Chen,2006
Mario Gerla,2006
Lin-Huang Chang,2013
Tsung-Han Lee,2013
Shu-Jan Chen,2013
Cheng-Yen Liao,2013
V. Kumar,2003
Ferat Sahin,2003
Tetsuyuki Takahama,2006
Setsuko Sakai,2006
Noriyuki Iwane,2006
Haruhisa Kawasaki,1999
T. Komatsu,1999
K. Uchiyama,1999
T. Kurimoto,1999
Ravindra Kumar Sinha,1995
K. Sivaraman,1995
Amit Agrawal,1995
Rakesh K. Jain,1995
Rajesh Srivastava,1995
Anil K. Jain,1995
Kiyoshi Kiyokawa,1999
Hiroshi Takemura,1999
Naokazu Yokoya,1999
Shao-Hung Chan,2018
Ping-Tsang Wu,2018
Li-Chen Fu,2018
Emmanuel Hygounenc,2002
Philippe Souères,2002
Yisi Liu,2014
Olga Sourina,2014
Ilhan Aydin,2013
Mehmet Karakose,2013
Erhan Akin,2013
Kenji Watahiki,2011
Fuyuki Ishikawa,2011
Kunihiko Hiraishi,2011
LaVonda Brown,2013
Ryan Kerwin,2013
Ayanna M. Howard,2013
Mai Suzuki,2006
Nozomi Yamamoto,2006
Osami Yamamoto,2006
Tomoaki Nakano,2006
Shin Yamamoto,2006
Dipankar Dasgupta,1998
Uzay Kaymak,2012
RS Ronny Mans,2012
Theo van de Steeg,2012
Meghan Dierks,2012
Stefan Gehrig,1998
F.J. Stein,1998
Dongbin Lee,2009
Timothy C. Burg,2009
Darren M. Dawson,2009
Dule Shu,2009
Bin Xian,2009
Enver Tatlicioglu,2009
Carlos N. Silla,2007
Celso A. A. Kaestner,2007
Alessandro L. Koerich,2007
W.J. Trybula,1994
Thangarajah Akilan,2017
Q. M. Jonathan Wu,2017
Amin Safaei,2017
Wei Jiang,2017
E. Marion Schneider,2005
T. Dera,2005
K. Bard,2005
S. Bardins,2005
Guido Boening,2005
T.S. Brand,2005
Jeffrey J. Biesiadecki,2005
Eric T. Baumgartner,2005
R.G. Bonitz,2005
B. D. Cooper,2005
Frank A. Hartman,2005
P.C. Leger,2005
Mark Maimone,2005
Scott Maxwell,2005
A. trebi-Ollenu,2005
Edward Tunstel,2005
John Wright,2005
Takehiko Mori,2004
Y. Suemasu,2004
Hirofumi Noguchi,2004
Takafumi Sato,2004
Motohiro Miki,1999
Tomoyuki Hiroyasu,1999
Makoto Kaneko,1999
K. Hatanaka,1999
Yu Liu,2005
Yan Li,2005
Hong Man,2005
Chen-Rong Yu,2006
Chao-Lin Wu,2006
Ching-Hu Lu,2006
Li-Chen Fu,2006
Jean Araujo,2011
Rubens Matos,2011
Paulo Maciel,2011
Rivalino Matias,2011
Ludovic Pietre-Cambacedes,2010
Marc Bouissou,2010
Guy Bourhis,1993
K. Moumen,1993
Pierre Pino,1993
S. Rohmer,1993
Alain Pruski,1993
Nancy G. Leveson,1997
E. Palmer,1997
S. Bussmann,2001
Julia Sieverding,2001
Shian-Miin Hwang,1994
Cheng-Yan Kao,1994
Jorng-Tzong Horng,1994
Byung-Woo Min,1997
Ho-Sub Yoon,1997
Jung Soh,1997
Yun-Mo Yang,1997
Toshiaki Ejima,1997
N.R. Saxena,1998
Edward J. McCluskey,1998
Chien-Chung Chan,1991
Celal Batur,1991
Ashok Srinivasan,1991
Jin-Shyan Lee,2006
Yang-Chih Huang,2006
Md. Mustafizur Rahman,1999
Ryojun Ikeura,1999
K. Mizutani,1999
Hanene Trichili,2002
M. Boublel,2002
N. Derbel,2002
L. Kamoun,2002
Shyue-Liang Wang,2005
A. Jafari,2005
Futoshi Naya,1999
Junji Yamato,1999
Kazuhiko Shinozawa,1999
Justin Weaver,2011
Kenrick Mock,2011
Bogdan Hoanca,2011
Wolfgang Daxwanger,1995
G.K. Schmidt,1995
W.H. Ho,2004
Paul A. Watters,2004
Marc H. Raibert,1993
Spyros G. Tzafestas,1993
Costas S. Tzafestas,1993
Ali T. Alouani,1991
P. Xia,1991
Theodore R. Rice,1991
William P. Blair,1991
Junjun Liang,2004
A. K. Qin,2004
Ponnuthurai Nagaratnam Suganthan,2004
S. Baskar,2004
Sabine Buckl,2009
Florian Matthes,2009
Christian M. Schweda,2009
Ghassan Hamarneh,2000
Artur Chodorowski,2000
Tomas Gustavsson,2000
Jui-Ho Chen,2015
Wen-Tsai Sung,2015
Guo-Yan Lin,2015
Nalinda Hettiarachchi,2015
Zhaojie Ju,2015
Honghai Liu,2015
Chun-Shu Wei,2015
Yuan-Pin Lin,2015
Yu-Te Wang,2015
Tzyy-Ping Jung,2015
Nima Bigdely-Shamlo,2015
Chin-Teng Lin,2015
Devin Connell,2017
Hung Manh La,2017
Seohyun Lee,2019
Minji Lee,2019
Ji-Hoon Jeong,2019
P. Jeffrey Brantingham,2005
Uwe Glässer,2005
B. Kinney,2005
K. Singh,2005
Mona Vajihollahi,2005
Hsuan-Shih Lee,1999
Manabu Ichino,1988
Sigeru Omatu,2000
Toru Fujinaka,2000
Michifumi Yoshioka,2000
D.L. Alves de Araujo,1999
Heitor Silvério Lopes,1999
Alex A. Freitas,1999
Cindy L. Bethel,2011
Mark Stevenson,2011
Brian Scassellati,2011
J. Steen,2011
H. J. Damveld,2011
Riender Happee,2011
Max Mulder,2011
Rainer Bischoff,1999
Volker Graefe,1999
Tzung-Pei Hong,2009
Cho-Han Lee,2009
Shyue-Liang Wang,2009
M.A. King,1998
J.F. Elder,1998
B. Gomolka,1998
E. Schmidt,1998
M. Summers,1998
K. Toop,1998
F.T. Buzan,1989
Thomas B. Sheridan,1989
Nikolaos G. Bourbakis,1997
Pietro Buttolo,1995
David Kung,1995
Blake Hannaford,1995
Kulsoom Abdullah,2005
Chun-Sing Lee,2005
Geraldine Conti,2005
Jack G. Copeland,2005
Rolf Isermann,1993
Mihaela Ulieru,1993
S. Kawato,2000
Jun Ohya,2000
V.J. Blue,1997
Mark J. Embrechts,1997
J.L. Adler,1997
Firas Al-Doghman,2016
Zenon Chaczko,2016
Alina Rakhi Ajayan,2016
Ryszard Klempous,2016
Hao Wang,2017
Bas van Stein,2017
Michael Emmerich,2017
Thomas G. Back,2017
