Name,Year
Roland Siegwart,2005
Katsumi Kaneko,2002
Fumio Kanehiro,2002
Shin Kajita,2002
Jun Ogawa,2002
Kazuhiko Akachi,2002
T. Kawasaki,2002
Shuichi Ota,2002
Takakatsu Isozumi,2002
Gerardo Bledt,2018
Matthew A. Powell,2018
Benjamin Katz,2018
Jared Di Carlo,2018
Patrick M. Wensing,2018
Sangbae Kim,2018
Mathieu Labbé,2014
François Michaud,2014
Tixiao Shan,2020
Brendan Englot,2020
Drew Meyers,2020
Wei Wang,2020
Carlo Ratti,2020
Daniela Rus,2020
Cipriano Galindo,2005
Alessandro Saffiotti,2005
Silvia Coradeschi,2005
P. Buschka,2005
Juan-Antonio Fernández-Madrigal,2005
J. Suarez Gonzalez,2005
Moritz Tenorth,2009
Michael Beetz,2009
Behnam Salemi,2006
Mark Moll,2006
Wei-Min Shen,2006
Y. Cao,1995
Alex Fukunaga,1995
Andrew B. Kahng,1995
Fanbo Meng,1995
Daniel Mellinger,2011
Quentin Lindsey,2011
Michael Shomin,2011
Vijay Kumar,2011
Kenji Kaneko,2008
Kensuke Harada,2008
Fumio Kanehiro,2008
G. Miyamori,2008
Kazuhiko Akachi,2008
Qilong Zhang,2004
Robert Pless,2004
Friedrich Fraundorfer,2012
Lionel Heng,2012
Dominik Honegger,2012
Gim Hee Lee,2012
Lorenz Meier,2012
Petri Tanskanen,2012
Marc Pollefeys,2012
S. H. Lee,2002
Yoshiyuki Sankai,2002
Gareth Loy,2004
Nick Barnes,2004
Alexei Makarenko,2002
Steven Williams,2002
Frédéric Bourgault,2002
Hugh Durrant-Whyte,2002
Chris Urmson,2003
Reid Simmons,2003
Kurt Konolige,2010
Giorgio Grisetti,2010
Rainer Kümmerle,2010
Wolfram Burgard,2010
Benson Limketkai,2010
Régis Vincent,2010
S. Petti,2005
Thierry Fraichard,2005
Benjamin R. Stephens,2010
Christopher G. Atkeson,2010
Jim Mainprice,2013
Dmitry Berenson,2013
Koichi Nishiwaki,2002
Satoshi Kagami,2002
Yasuo Kuniyoshi,2002
Motoi Inaba,2002
Hiroshi Inoue,2002
Niko Sünderhauf,2012
Peter Protzel,2012
Yang Chen,2005
Zhongmin Wang,2005
Mikey Siegel,2009
Cynthia Breazeal,2009
Michael I. Norton,2009
Albert S. Huang,2010
Edwin Olson,2010
David Moore,2010
Federico Augugliaro,2012
Angela P. Schoellig,2012
Raffaello D'Andrea,2012
Namiki A,2003
Yasuharu Imai,2003
M. Ishikawa,2003
Makoto Kaneko,2003
Daniela Rus,1995
Bruce R. Donald,1995
James Jennings,1995
Jens-Steffen Gutmann,1998
Wolfram Burgard,1998
D. B. Fox,1998
Kurt Konolige,1998
Vladimir Kulyukin,2004
Chaitanya Gharpure,2004
J. Nicholson,2004
S. Pavithran,2004
Jared Di Carlo,2018
Patrick M. Wensing,2018
Benjamin Katz,2018
Gerardo Bledt,2018
Sangbae Kim,2018
Hongfang Liu,2008
K. Chauncey Wu,2008
Peter Meusel,2008
N. Seitz,2008
Gerd Hirzinger,2008
Muqing Jin,2008
Y. W. Liu,2008
Shaowei Fan,2008
Tianfei Lan,2008
Zhenyu Chen,2008
J.P. van den Berg,2005
Mark H. Overmars,2005
Cory D. Kidd,2008
Cynthia Breazeal,2008
Marcus Gualtieri,2016
Andreas ten Pas,2016
Kate Saenko,2016
Robert W. Platt,2016
Michael Montemerlo,2003
Nicholas Roy,2003
Sebastian Thrun,2003
M.W. Jorgensen,2004
Esben Hallundbæk Østergaard,2004
Henrik Lund,2004
Dave Ferguson,2006
Anthony Stentz,2006
Adam Zoss,2005
Homayoon Kazerooni,2005
A Chu,2005
Klaus H. Strobl,2006
Gerd Hirzinger,2006
Paul M. Birkmeyer,2009
Kevin Charles Peterson,2009
Ronald S. Fearing,2009
Selim Benhimane,2004
Ezio Malis,2004
P. Sears,2006
Pierre E. Dupont,2006
Cory D. Kidd,2004
Cynthia Breazeal,2004
Russ Tedrake,2004
T.W. Zhang,2004
H.S. Seung,2004
Aaron D'Souza,2001
Srinivasan Vijayakumar,2001
Stefan Schaal,2001
Peter Pastor,2011
Ludovic Righetti,2011
Mrinal Kalakrishnan,2011
Stefan Schaal,2011
Toshiharu Mukai,2010
Shinya Hirano,2010
Hiromichi Nakashima,2010
Yo Kato,2010
Yuki Sakaida,2010
Shijie Guo,2010
Shigeyuki Hosoe,2010
Robert J. Webster,2006
Allison M. Okamura,2006
Nicolas B. Cowan,2006
Akhil J. Madhani,1998
Gunter Niemeyer,1998
Jonathan R. Salisbury,1998
Yutaka Kanayama,1991
Yuki Kimura,1991
Fumio Miyazaki,1991
Takaaki Noguchi,1991
Andrew Howard,2002
M.J. Matark,2002
Gaurav S. Sukhatme,2002
Giseop Kim,2018
Ayoung Kim,2018
Kai M. Wurm,2008
Cyrill Stachniss,2008
Wolfram Burgard,2008
Jacob Varley,2017
Chad DeChant,2017
Adam Richardson,2017
Joaquín Ruales,2017
Peter J. Allen,2017
Jingwei Zhang,2017
Jost Tobias Springenberg,2017
Joschka Boedecker,2017
Wolfram Burgard,2017
Kaijen Hsiao,2010
Sachin Chitta,2010
Matei Ciocarlie,2010
E Y Jones,2010
C.D. Wright,2007
Andrew Johnson,2007
A. Peck,2007
Z. McCord,2007
A. Naaktgeboren,2007
P. Gianfortoni,2007
M.N. Gonzalez-Rivero,2007
Ross L. Hatton,2007
Howie Choset,2007
Kazumasa Yamazawa,1993
Yasushi Yagi,1993
Masahiko Yachida,1993
Dhiraj Gandhi,2017
Lerrel Pinto,2017
Abhinav Gupta,2017
Zhi-Xin Wang,2019
Kui Jia,2019
Jean-Philippe Tardif,2008
Y. Pavlidis,2008
Vijay Kumar,2008
Matei Ciocarlie,2007
Corey Goldfeder,2007
Pamela K. Allen,2007
Yusuke Kuwata,2008
Gaston A. Fiore,2008
Jeremy C.M. Teo,2008
Emilio Frazzoli,2008
Jonathan P. How,2008
Davide Scaramuzza,2006
Agostino Martinelli,2006
Roland Siegwart,2006
Franziska Zacharias,2007
C. Borst,2007
Gerd Hirzinger,2007
Julius Ziegler,2009
Christoph Stiller,2009
Edward J. Johns,2016
Stefan Leutenegger,2016
Andrew J. Davison,2016
Stefan Hrabar,2005
Gaurav S. Sukhatme,2005
Peter Corke,2005
Kevin Usher,2005
Jay Roberts,2005
X. K. Zhou,2006
Stergios I. Roumeliotis,2006
Jann Poppinga,2008
Narunas Vaskevicius,2008
Andreas Birk,2008
Kaustubh Pathak,2008
Bianca S. Homberg,2015
Robert K. Katzschmann,2015
Mehmet R. Dogar,2015
Daniela Rus,2015
Michael Unser,2015
Sammy Omari,2015
Marco Hutter,2015
Roland Siegwart,2015
