Name,Year,Gender
Wolfram Burgard,2006,M
Rachel Gockley,2005,F
A. Bruce,2005,F
Jodi Forlizzi,2005,F
Marek P. Michalowski,2005,M
Alan C. Mundell,2005,M
Stephanie Rosenthal,2005,F
Brennan Sellner,2005,M
Simmons Rl,2005,M
K. Snipes,2005,M
A. Schultz,2005,M
Jue Wang,2005,M
Michael Everett,2018,M
Yu Chen,2018,M
Jonathan P. How,2018,M
Ruth Simmons,1998,M
D. Apfelbaum,1998,M
Zichao Zhang,2018,M
Davide Scaramuzza,2018,F
Jakob Engel,2012,M
Jürgen Sturm,2012,M
Daniel Cremers,2012,M
Liefeng Bo,2011,M
Xiaofeng Ren,2011,M
Dieter Fox,2011,M
Leila Takayama,2009,F
Caroline Pantofaru,2009,F
Ryan W. Wolcott,2014,M
Ryan M. Eustice,2014,M
Maja J. Matarić,1995,F
Martin Nilsson,1995,M
K.T. Simsarin,1995,M
Mark W. Spong,1994,M
V.T. Nguyen,2005,M
Agostino Martinelli,2005,M
N. Tomatis,2005,M
Roland Siegwart,2005,M
Katsumi Kaneko,2002,M
Fumio Kanehiro,2002,M
Shin Kajita,2002,F
Jun Ogawa,2002,F
Kazuhiko Akachi,2002,M
T. Kawasaki,2002,M
Shuichi Ota,2002,M
Takakatsu Isozumi,2002,F
Gerardo Bledt,2018,M
Matthew A. Powell,2018,M
Benjamin Katz,2018,M
Jared Di Carlo,2018,M
Patrick M. Wensing,2018,M
Sangbae Kim,2018,M
Mathieu Labbé,2014,M
François Michaud,2014,M
Tixiao Shan,2020,F
Brendan Englot,2020,M
Drew Meyers,2020,M
Wei Wang,2020,M
Carlo Ratti,2020,M
Daniela Rus,2020,M
Cipriano Galindo,2005,M
Alessandro Saffiotti,2005,M
Silvia Coradeschi,2005,F
P. Buschka,2005,F
Juan-Antonio Fernández-Madrigal,2005,M
J. Suarez Gonzalez,2005,M
Moritz Tenorth,2009,M
Michael Beetz,2009,M
Behnam Salemi,2006,M
Mark Moll,2006,M
Wei-Min Shen,2006,M
Y. Cao,1995,M
Alex Fukunaga,1995,M
Andrew B. Kahng,1995,M
Fanbo Meng,1995,M
Daniel Mellinger,2011,M
Quentin Lindsey,2011,M
Michael Shomin,2011,M
Vijay Kumar,2011,M
Kenji Kaneko,2008,M
Kensuke Harada,2008,M
Fumio Kanehiro,2008,M
G. Miyamori,2008,F
Kazuhiko Akachi,2008,M
Qilong Zhang,2004,M
Robert Pless,2004,M
Friedrich Fraundorfer,2012,M
Lionel Heng,2012,M
Dominik Honegger,2012,M
Gim Hee Lee,2012,F
Lorenz Meier,2012,M
Petri Tanskanen,2012,M
Marc Pollefeys,2012,M
S. H. Lee,2002,M
Yoshiyuki Sankai,2002,M
Gareth Loy,2004,M
Nick Barnes,2004,M
Alexei Makarenko,2002,M
Steven Williams,2002,M
Frédéric Bourgault,2002,M
Hugh Durrant-Whyte,2002,M
Chris Urmson,2003,M
Reid Simmons,2003,M
Kurt Konolige,2010,M
Giorgio Grisetti,2010,M
Rainer Kümmerle,2010,M
Wolfram Burgard,2010,M
Benson Limketkai,2010,M
Régis Vincent,2010,M
S. Petti,2005,M
Thierry Fraichard,2005,M
Benjamin R. Stephens,2010,M
Christopher G. Atkeson,2010,M
Jim Mainprice,2013,M
Dmitry Berenson,2013,M
Koichi Nishiwaki,2002,M
Satoshi Kagami,2002,M
Yasuo Kuniyoshi,2002,M
Motoi Inaba,2002,F
Hiroshi Inoue,2002,M
