Name,Year,Gender
Fengjun Lv,2010,M
Thomas S. Huang,2010,M
Yihong Gong,2010,M
Dorin Comaniciu,2000,M
Vasanthi Ramesh,2000,M
Peter Meer,2000,M
Flood Sung,2018,M
Yongxin Yang,2018,F
Li Zhang,2018,F
Tao Xiang,2018,M
Philip H. S. Torr,2018,M
Timothy M. Hospedales,2018,M
Ramakrishna Vedantam,2015,M
C. Lawrence Zitnick,2015,M
Devi Parikh,2015,F
Yunjey Choi,2018,F
Minje Choi,2018,F
Mun-Young Kim,2018,M
Jung-Woo Ha,2018,F
Sunghun Kim,2018,M
Jaegul Choo,2018,M
Li Fei-Fei,2005,F
Pietro Perona,2005,F
Pedro F. Felzenszwalb,2008,M
David McAllester,2008,M
Deva Ramanan,2008,M
Anh V. Nguyen,2015,F
Jason Yosinski,2015,M
Jeff Clune,2015,M
Sumit Chopra,2005,F
Raia Hadsell,2005,M
Yann LeCun,2005,M
Dan Ciresan,2012,M
Ueli Meier,2012,M
Jürgen Schmidhuber,2012,M
Hervé Jégou,2010,M
Matthijs Douze,2010,M
Cordelia Schmid,2010,F
Patrick Pérez,2010,M
Eddy Ilg,2017,M
Nikolaus Mayer,2017,M
Tonmoy Saikia,2017,F
Margret Keuper,2017,F
Alexey Dosovitskiy,2017,F
Thomas Brox,2017,M
David S. Bolme,2010,M
J. Ross Beveridge,2010,M
Bruce A. Draper,2010,M
Yui Man Lui,2010,M
Jianxiong Xiao,2010,M
James Hays,2010,M
Krista A. Ehinger,2010,F
Aude Oliva,2010,F
Antonio Torralba,2010,M
E. Osuna,1997,F
Robert M. Freund,1997,M
F. Girosit,1997,M
Yulun Zhang,2018,F
Yapeng Tian,2018,M
Yu Kong,2018,M
Bineng Zhong,2018,M
Yun Fu,2018,M
Johannes L. Schonberger,2016,M
Jan-Michael Frahm,2016,M
Heng Wang,2011,M
Alexander Kläser,2011,M
Cordelia Schmid,2011,F
Cheng-Lin Liu,2011,M
Clément Godard,2017,M
Oisin Mac Aodha,2017,M
Gabriel J. Brostow,2017,M
Ming-Ming Cheng,2011,M
Guoxin Zhang,2011,M
Niloy J. Mitra,2011,F
Xiaolei Huang,2011,F
Shi-Min Hu,2011,F
Alexandre Alahi,2016,M
Kratarth Goel,2016,M
Vignesh Ramanathan,2016,M
Alexandre Robicquet,2016,M
Li Fei-Fei,2016,F
Silvio Savarese,2016,M
Vahid Kazemi,2014,M
Josephine Sullivan,2014,F
Christoph Feichtenhofer,2016,M
Axel Pinz,2016,M
Andrew Zisserman,2016,M
Mykhaylo Andriluka,2014,M
Leonid Pishchulin,2014,M
Peter V. Gehler,2014,M
Bernt Schiele,2014,M
Tero Karras,2020,M
Samuli Laine,2020,F
Miika Aittala,2020,F
Janne Hellsten,2020,F
Jaakko Lehtinen,2020,F
Timo Aila,2020,F
Philip Phillips,2005,M
Patrick J. Flynn,2005,M
T. Scruggs,2005,M
Kevin W. Bowyer,2005,M
Jin Chang,2005,M
K. Hoffman,2005,M
J. Marques,2005,M
Jae-Sik Min,2005,M
William J. Worek,2005,M
Weiyang Liu,2017,M
Yandong Wen,2017,M
Zhiding Yu,2017,M
Ming Li,2017,F
