Name,Year
Cosmin Ancuti,2016
Cosmin Ancuti,2016
Christophe De Vleeschouwer,2016
Asmaa Hosni,2009
Michael Bleyer,2009
Margrit Gelautz,2009
Christoph Rhemann,2009
N. Anantrasirichai,2013
Jeremy F. Burn,2013
David Bull,2013
Haigang Zhu,2015
Xiaogang Chen,2015
Weiqun Dai,2015
Kun Fu,2015
Qixiang Ye,2015
Jianbin Jiao,2015
Lei Zhang,2001
Fuzong Lin,2001
Bo Zhang,2001
Minerva M. Yeung,1995
Bede Liu,1995
Anil K. Jain,2002
Anthony Ross,2002
A. Secker,2001
David Taubman,2001
Steve Mann,1994
Rosalind W. Picard,1994
Kyungnam Kim,2004
Thanarat H. Chalidabhongse,2004
David M. Harwood,2004
Larry S. Davis,2004
Martin Kutter,1999
Sushil Bhattacharjee,1999
Touradj Ebrahimi,1999
Hui Li,1994
B.S. Manjunath,1994
Sanjit K. Mitra,1994
Lin Zhang,2012
Hongyu Li,2012
Min Wu,1998
Bede Liu,1998
Mark Robertson,1999
Sherri Borman,1999
Richard Mark Stevenson,1999
D.D. Muresan,2003
T.W. Parks,2003
Jessica Fridrich,1998
Suleyman S. Kozat,2004
Ramarathnam Venkatesan,2004
Mehmet Kivanc Mihcak,2004
Mei Chen,2009
Kapil Dhingra,2009
Wen Wu,2009
Lei Yang,2009
Rahul Sukthankar,2009
Jian Yang,2009
Adrian G. Bors,1996
Ioannis Pitas,1996
Dong Tian,2017
Hideaki Ochimizu,2017
Chen Feng,2017
Robert M. Cohen,2017
Anthony Vetro,2017
Erum Khan,2006
A. O. Akyiiz,2006
Erik Reinhard,2006
Zheng Wang,2006
Xiaodong Shang,2006
Michael D. Adams,2000
Faouzi Kossentini,2000
Mário A. T. Figueiredo,2005
R. J. Nowak,2005
Lin Zhang,2010
Lei Zhang,2010
Xuanqin Mou,2010
Yonggang Qi,2016
Yi-Zhe Song,2016
Honggang Zhang,2016
Jun Liu,2016
Aljosa Smolic,2008
Klaus-Robert Müller,2008
K Dix,2008
P. Merkle,2008
Peter Kauff,2008
Thomas Wiegand,2008
Houyang Guo,1994
J.E. Odegard,1994
M. Lang,1994
Ramesh A. Gopinath,1994
Ivan Selesnick,1994
C.S. Burrus,1994
Thiow Keng Tan,2006
Choong Seng Shatomorioka Boon,2006
Yasuhiro Suzuki,2006
Xavier Marichal,1999
Wei-Ying Ma,1999
Hong-Jiang Zhang,1999
Radhakrishna Achanta,2009
Sabine Süsstrunk,2009
Jinhwan Kim,2013
Chul Hee Lee,2013
Jae-Young Sim,2013
Chang-Su Kim,2013
Laurenz Wiskott,1997
Jean Marc Fellous,1997
Norbert Krüger,1997
Christoph von der Malsburg,1997
Cha Zhang,2014
Dinei Florencio,2014
Charles Loop,2014
Mingyi He,2017
Bo Li,2017
Huahui Chen,2017
Vishal M. Patel,2014
René Vidal,2014
Eero P. Simoncelli,1998
Javier Portilla,1998
Hui Yu,2002
Mingjing Li,2002
Hong-Jiang Zhang,2002
Jufu Feng,2002
Luis Torres,1999
J.Y. Reutter,1999
Leonardo Lorente,1999
Anne Aaron,2004
Shantanu Rane,2004
Bernd Girod,2004
Behcet Ugur Toreyin,2005
Yiğithan Dedeoğlu,2005
A. Enis Cetin,2005
Peggy Subirats,2006
Jean Dumoulin,2006
Vincent Legeay,2006
Dominique Barba,2006
Gerasimos Potamianos,1998
Hans Peter Graf,1998
Eric Cosatto,1998
J. G. Smith,1995
Shih-Fu Chang,1995
Alberto Albiol,2001
Luis Torres,2001
Edward J. Delp,2001
Victoria Yanulevskaya,2008
Jan C. van Gemert,2008
K. Roth,2008
Ann-Katrin Herbold,2008
Nicu Sebe,2008
Jan-Mark Geusebroek,2008
George Voyatzis,1996
Ioannis Pitas,1996
Peng Yin,2003
H.-Y.C. Tourapis,2003
Alexis Michael Tourapis,2003
Jill Macdonald Boyce,2003
Lin Zhang,2009
Lei Zhang,2009
Yu Wang,2019
Quan Zhou,2019
Jia Liu,2019
Jian Xiong,2019
Guangwei Gao,2019
Xiaofu Wu,2019
Longin Jan Latecki,2019
Lex Schaul,2009
Clément Fredembach,2009
Sabine Süsstrunk,2009
Abhishek Gangwar,2016
Akanksha Joshi,2016
Yongjian Yu,2006
Joseph Yadegar,2006
Xinxin Hu,2019
Kailun Yang,2019
Lei Fei,2019
Kaiwei Wang,2019
Milind Naphade,1998
Trausti Kristjansson,1998
Benjamin Frey,1998
Thomas S. Huang,1998
Sebastian Bosse,2016
Dominique Maniry,2016
Thomas Wiegand,2016
Wojciech Samek,2016
Vivek K Goyal,1998
Jelena Kovacevic,1998
Ramon Arean,1998
Michel Vetterli,1998
Chong Shang,2016
Haizhou Ai,2016
Bo Bai,2016
Heiko Schwarz,2006
Detlev Marpe,2006
Thomas Wiegand,2006
Alexander Wong,2008
Jeff Orchard,2008
Yan Ye,2008
Marta Karczewicz,2008
Lin Zhang,2012
Lei Zhang,2012
Xuanqin Mou,2012
S. Cheng,1998
Wei Chen,1998
Hari Sundaram,1998
C. Papageorgiou,1999
Tomaso Poggio,1999
Thomas Wolf,2016
Mohammadreza Babaee,2016
Gerhard Rigoll,2016
Anne Aaron,2003
Eric Setton,2003
Bernd Girod,2003
Ming-Hsuan Yang,1998
Narendra Ahuja,1998
Zi-Kun Liu,2017
Jin-gao Hu,2017
Lubin Weng,2017
Yiping Yang,2017
Xinhao Liu,2012
Masayuki Tanaka,2012
Masatoshi Okutomi,2012
Jessica Fridrich,1999
Miroslav Goljan,1999
Eiji Kasutani,2001
Akimasa Yamada,2001
Amol Borkar,2009
Monson H. Hayes,2009
Mark A. Smith,2009
David J. Heeger,1995
J. R. Bergen,1995
Brian D. M. Tom,1995
Aggelos K. Katsaggelos,1995
Zdenek Kalal,2010
Krystian Mikolajczyk,2010
Jiri Matas,2010
Wooshik Kim,2009
Antonio Ortega,2009
Po-Lin Lai,2009
Dong Tian,2009
Cristina Gomila,2009
Eun Lee,1994
Pyeoung Kee Kim,1994
Hang Joon Kim,1994
Clayton Brian Atkins,2001
Charles A. Bouman,2001
Jan P. Allebach,2001
Laure J. Chipman,1995
Timothy M. Orr,1995
Lewis N. Graham,1995
Lingke Zeng,2017
Xiangmin Xu,2017
Bolun Cai,2017
Suo Qiu,2017
Tong Zhang,2017
Amy R. Reibman,1999
H. Jafarkhani,1999
Yao Wang,1999
Michael T. Orchard,1999
Ruchir Puri,1999
D.M. Thodi,2004
Jorge Luis Rodriguez,2004
Michael T. Orchard,1997
Yu Wang,1997
Vinay A. Vaishampayan,1997
Amy R. Reibman,1997
Alhussein Fawzi,2016
Horst Samulowitz,2016
Deepak S. Turaga,2016
Pascal Frossard,2016
William H. Nailon,1996
Stephen McLaughlin,1996
Thomas J. Spencer,1996
M.P. Ramo,1996
Samet Akcay,2016
Mikolaj E. Kundegorski,2016
Michael B. Devereux,2016
Toby P. Breckon,2016
Bruno Peixoto,2011
Carolina Michelassi,2011
Anderson Rocha,2011
F. Mintzer,1997
Gordon W. Braudaway,1997
Minerva M. Yeung,1997
Jin Wang,2006
Yanwen Guo,2006
Yiting Ying,2006
Yanli Liu,2006
Qunsheng Peng,2006
Chen Change Loy,2013
Chunxiao Liu,2013
Shaogang Gong,2013
Karin Sobottka,1996
Ioannis Pitas,1996
Minh N. Do,2001
Martin Vetterli,2001
Ara V. Nefian,1998
Monson H. Hayes,1998
Lin Zhang,2013
Zhongyi Gu,2013
Hongyu Li,2013
Etienne Loupias,2000
Nicu Sebe,2000
S. Bres,2000
Jean-Michel Jolion,2000
Jessica Fridrich,2000
Miroslav Goljan,2000
A.C. Baldoza,2000
Zhouyu Fu,2005
Weiming Hu,2005
Tieniu Tan,2005
Lin Li,2015
Ronggang Wang,2015
Wenmin Wang,2015
Wen Gao,2015
Pengyu Hong,2000
Qi Tian,2000
Thomas S. Huang,2000
Yanfu Zhang,2017
Li Ding,2017
Gaurav Sharma,2017
Jaime Portilla,2001
Vasily Strela,2001
Martin J. Wainwright,2001
Eero P. Simoncelli,2001
Ahmet Emir Dirik,2009
Nasir Memon,2009
R. Eslami,2004
Hayder Radha,2004
Shu Liao,2006
Wei Fan,2006
Albert C. S. Chung,2006
Dit-Yan Yeung,2006
Yannick Morvan,2007
Dirk Farin,2007
Y. Lu,2006
Minh N. Do,2006
Vinay A. Vaishampayan,1999
S. John,1999
Peng Yuan Chang,2002
MeiLan K. Han,2002
Yihong Gong,2002
Joao Ascenso,2006
Catarina Brites,2006
Fernando Lobo Pereira,2006
Henrique Oliveira,2014
Paulo Lobato Correia,2014
Rui Hu,2010
Mark Barnard,2010
John Collomosse,2010
Phong Minh Vu,2011
Cuong Manh Vu,2011
Damon M. Chandler,2011
Wujun Ma,1995
B.S. Manjunath,1995
Benjamin Bischke,2019
Patrick Helber,2019
Joachim Folz,2019
Damian Borth,2019
Andreas Dengel,2019
Vincent Garcia,2010
Eric Debreuve,2010
Frank Nielsen,2010
