Name,Year
Jochen J. Steil,2004
Carroll,1989
Dickinson,1989
Christian J. Darken,1990
J. D. Moody,1990
Alberto Garcia-Garcia,2016
Francisco Gomez-Donoso,2016
Jose Garcia-Rodriguez,2016
Sergio Orts-Escolano,2016
Miguel Cazorla,2016
Jorge Azorin-Lopez,2016
G. Baudat,2001
Fatiha Anouar,2001
Hidenori Ide,2017
Takio Kurita,2017
Eric A. Wan,1990
Gavin C. Cawley,2006
M.K. Fleming,1990
Garrison W. Cottrell,1990
Hilmi Gunes Kayacik,2003
A. Nur Zincir-Heywood,2003
Malcolm I. Heywood,2003
Pearlmutter,1989
N. Baba,1992
M. Kozaki,1992
D.F. Specht,1992
Tishby,1989
Levin,1989
Solla,1989
Dan Wang,2014
Yi Shang,2014
C. Silva,2003
B. Ribeiro,2003
Fatin Zaklouta,2011
Bogdan Stanciulescu,2011
Omar Hamdoun,2011
Werbos,1989
Felix Sattler,2019
Simon Wiedemann,2019
Klaus-Robert Müller,2019
Wojciech Samek,2019
B.L. Kalman,1992
S.C. Kwasny,1992
Renals,1989
Rohwer,1989
Soujanya Poria,2016
Iti Chaturvedi,2016
Erik Cambria,2016
Federica Bisio,2016
Albert Höglund,2000
Kimmo Hätönen,2000
Antti Sorvari,2000
Dimitri Solomatine,2004
Durga Lal Shrestha,2004
Yilong Yang,2018
Qingfeng Wu,2018
Ming Qiu,2018
Yingdong Wang,2018
Xiaowei Chen,2018
Steven A. Borbash,2002
Esther Jennings,2002
Johan A. K. Suykens,1999
Joos Vandewalle,1999
Christopher A. Briggs,2020
Zhong Fan,2020
Peter Andras,2020
Teuvo Kohonen,1992
Jorma Kangas,1992
Jorma Laaksonen,1992
Kari Torkkola,1992
Chase J. Gaudet,2018
Anthony S. Maida,2018
Sebastian Bock,2019
Martin Weis,2019
Steve K. Esser,2013
Alexander Andreopoulos,2013
Rathinakumar Appuswamy,2013
Pallab Datta,2013
Davis,2013
Arnon Amir,2013
John M. Arthur,2013
Andrew Cassidy,2013
Myron D. Flickner,2013
Paul A. Merolla,2013
Shyamal Suhana Chandra,2013
Nicola Basilico,2013
Stefano Carpin,2013
Tom Zimmerman,2013
Frank Zee,2013
Rodrigo Alvarez-Icaza,2013
Jeffrey A. Kusnitz,2013
Theodore M. Wong,2013
William P. Risk,2013
Emmett McQuinn,2013
T. K. Nayak,2013
Raghavendra Singh,2013
Dharmendra S. Modha,2013
Akiyama,1989
Yamashita,1989
Kajiura,1989
Aiso,1989
Carlo H. Séquin,1990
R.D. Clay,1990
Peter Lichodzijewski,2002
A. Nur Zincir-Heywood,2002
Malcolm I. Heywood,2002
Ronald J. Williams,1992
Antonio S. Oblea,2010
Achyut Timilsina,2010
David Moore,2010
Kristy A. Campbell,2010
Hans-Martin Adorf,1990
Mark D. Johnston,1990
Yuanfang Ren,2014
Yan Wu,2014
Yoshiteru Ishida,1990
Matthew C. Cook,2011
Luca Gugelmann,2011
Florian Jug,2011
Christoph Krautz,2011
Angelika Steger,2011
Hiroshi Kobayashi,1991
Fumio Hara,1991
Alvin J. Surkan,1990
J. Clay Singleton,1990
Leonid Peshkin,2002
Virginia Savova,2002
Daniel A. Jimenez,1998
Hao Zheng,2015
Zhanlei Yang,2015
Wenju Liu,2015
Jizhong Liang,2015
Yanpeng Li,2015
David G. Stork,1992
Gregory J. Wolff,1992
Earl Levine,1992
Benjamin Schrauwen,2003
Joris Van Campenhout,2003
Ji-Lung Hsieh,2008
Chuen-Tsai Sun,2008
Claudio Gallicchio,2010
Alessio Micheli,2010
Kyung Hwa Cho,2013
Tapani Raiko,2013
Alexander Ilin,2013
Jungme Park,2011
Dai Li,2011
Yi Lu Murphey,2011
Johannes Geir Kristinsson,2011
Ryan Abraham McGee,2011
Ming Kuang,2011
Tony Phillips,2011
A.S. Weigend,1991
David E. Rumelhart,1991
B.A. Huberman,1991
Hially Rodrigues de Sa,2011
Ricardo B. C. Prudêncio,2011
Andreas K. Fidjeland,2010
Murray Shanahan,2010
Zahra Khalili,2009
Mohammad Hassan Moradi,2009
Di Yao,2017
Chao Zhang,2017
Zhihua Zhu,2017
Jianhui Huang,2017
Jingping Bi,2017
F. van den Bergh,2001
Andries P. Engelbrecht,2001
Derong Liu,2001
Xiaoxu Xiong,2001
Yi Zhang,2001
Roger Jones,1990
Yen-Jie Lee,1990
Cris W. Barnes,1990
Gary W. Flake,1990
K. S. Lee,1990
P.S. Lewis,1990
Sam Qian,1990
Seong G. Kong,1990
Bart Kosko,1990
Priyadarshini Panda,2016
Kaushik Roy,2016
Di Wu,2017
Nabin Sharma,2017
Michael Blumenstein,2017
Allah Bux Sargano,2017
X. F. Wang,2017
Plamen Angelov,2017
Zulfiqar Habib,2017
Draguna Vrabie,2009
Frank Lewis,2009
P.K. Simpson,1991
Dennis Hamester,2015
Pablo Barros,2015
Stefan Wermter,2015
Eckhorn,1989
Reitboeck,1989
Arndt,1989
Dicke,1989
William Cukierski,2011
Benjamin Hamner,2011
Bo Yang,2011
A. Fan,2000
Marimuthu Palaniswami,2000
Stefan Lessmann,2006
Robert Stahlbock,2006
Sven F. Crone,2006
Abe,1989
Johannes Schemmel,2006
Andreas Grübl,2006
Karlheinz Meier,2006
Eilif Mueller,2006
Seungjin Choi,2008
Dan Ciresan,2015
Ueli Meier,2015
Gail A. Carpenter,1991
Stephen Grossberg,1991
David B. Rosen,1991
Shijie Zhong,2002
Joydeep Ghosh,2002
Amro El-Jaroudi,1990
John Makhoul,1990
Gangyi Wang,2013
Guanghui Ren,2013
Zhilu Wu,2013
Yaqin Zhao,2013
Lihui Jiang,2013
Eberhardt,1989
Duong,1989
Thakoor,1989
J. Schmidhuber,1990
Bernd Fritzke,1991
Michael S. Smith,2011
Tony Martinez,2011
Yi Liu,2005
Y. H. Zheng,2005
S. V. N. Vishwanathan,2002
M. Narasimha Murty,2002
Irwin King,2009
Jiexing Li,2009
Kam C. Chan,2009
Jianlin Cheng,2008
Zheng Wang,2008
Gianluca Pollastri,2008
Robert Jenssen,2003
Kenneth E. Hild,2003
Deniz Erdogmus,2003
Jose C. Principe,2003
Torbjørn Eltoft,2003
Robin Nix,2017
Jian Zhang,2017
Buhmann,1989
Lange,1989
von der Malsburg,1989
Jayram Moorkanikara Nageswaran,2009
Nikil Dutt,2009
Jeffrey L. Krichmar,2009
Alexandru Nicolau,2009
Alexander V. Veidenbaum,2009
Richard Welch,2009
Stephen M. Ruffing,2009
