Name,Year,Gender
Maximilian Sesselmann,2017,M
Dirk Ebersbach,2017,M
U Stoeckert,2017,M
Horst-Michael Gross,2017,M
Bogdan M. Wilamowski,2001,M
Serdar Iplikci,2001,M
Okyay Kaynak,2001,F
Mehmet Önder Efe,2001,M
Shi Zhong,2005,M
Arvind Narayanan,2011,M
Elaine Shi,2011,F
Benjamin I. P. Rubinstein,2011,M
Samet Akcay,2019,M
Amir Atapour-Abarghouei,2019,M
Toby P. Breckon,2019,M
Songlin Zhao,2011,M
Badong Chen,2011,M
Jose C. Principe,2011,M
Pedro Tabacof,2016,M
Eduardo Valle,2016,M
Arnon Amir,2013,M
Pallab Datta,2013,F
William P. Risk,2013,M
Andrew Cassidy,2013,M
Jeffrey A. Kusnitz,2013,M
Steve K. Esser,2013,M
Alexander Andreopoulos,2013,M
Theodore M. Wong,2013,M
Myron D. Flickner,2013,M
Rodrigo Alvarez-Icaza,2013,M
Emmett McQuinn,2013,M
Ben Shaw,2013,M
Norm Pass,2013,M
Dharmendra S. Modha,2013,F
Jochen J. Steil,2004,M
Carroll,1989,M
Dickinson,1989,M
Christian J. Darken,1990,M
J. D. Moody,1990,M
Alberto Garcia-Garcia,2016,M
Francisco Gomez-Donoso,2016,M
Jose Garcia-Rodriguez,2016,M
Sergio Orts-Escolano,2016,M
Miguel Cazorla,2016,F
Jorge Azorin-Lopez,2016,M
G. Baudat,2001,M
Fatiha Anouar,2001,F
Hidenori Ide,2017,M
Takio Kurita,2017,F
Eric A. Wan,1990,M
Gavin C. Cawley,2006,M
M.K. Fleming,1990,M
Garrison W. Cottrell,1990,M
Hilmi Gunes Kayacik,2003,F
A. Nur Zincir-Heywood,2003,F
Malcolm I. Heywood,2003,M
Pearlmutter,1989,M
N. Baba,1992,M
M. Kozaki,1992,M
D.F. Specht,1992,M
Tishby,1989,F
Levin,1989,M
Solla,1989,F
Dan Wang,2014,M
Yi Shang,2014,M
C. Silva,2003,F
B. Ribeiro,2003,M
Fatin Zaklouta,2011,F
Bogdan Stanciulescu,2011,M
Omar Hamdoun,2011,M
Werbos,1989,M
Felix Sattler,2019,M
Simon Wiedemann,2019,M
Klaus-Robert Müller,2019,M
Wojciech Samek,2019,M
B.L. Kalman,1992,M
S.C. Kwasny,1992,M
Renals,1989,M
Rohwer,1989,M
Soujanya Poria,2016,F
Iti Chaturvedi,2016,M
Erik Cambria,2016,F
Federica Bisio,2016,F
Albert Höglund,2000,M
Kimmo Hätönen,2000,M
Antti Sorvari,2000,M
Dimitri Solomatine,2004,M
Durga Lal Shrestha,2004,F
Yilong Yang,2018,M
Qingfeng Wu,2018,M
Ming Qiu,2018,M
Yingdong Wang,2018,M
Xiaowei Chen,2018,M
Steven A. Borbash,2002,M
Esther Jennings,2002,M
Johan A. K. Suykens,1999,M
Joos Vandewalle,1999,M
Christopher A. Briggs,2020,M
Zhong Fan,2020,M
Peter Andras,2020,M
Teuvo Kohonen,1992,M
Jorma Kangas,1992,M
Jorma Laaksonen,1992,M
Kari Torkkola,1992,F
Chase J. Gaudet,2018,M
Anthony S. Maida,2018,M
Sebastian Bock,2019,M
Martin Weis,2019,M
Steve K. Esser,2013,M
Alexander Andreopoulos,2013,M
Rathinakumar Appuswamy,2013,M
Pallab Datta,2013,F
Davis,2013,M
Arnon Amir,2013,M
John M. Arthur,2013,M
Andrew Cassidy,2013,M
Myron D. Flickner,2013,M
Paul A. Merolla,2013,F
Shyamal Suhana Chandra,2013,F
Nicola Basilico,2013,M
Stefano Carpin,2013,M
Tom Zimmerman,2013,M
Frank Zee,2013,F
Rodrigo Alvarez-Icaza,2013,M
Jeffrey A. Kusnitz,2013,M
Theodore M. Wong,2013,M
William P. Risk,2013,M
Emmett McQuinn,2013,M
T. K. Nayak,2013,M
Raghavendra Singh,2013,M
Dharmendra S. Modha,2013,F
Akiyama,1989,F
Yamashita,1989,F
Kajiura,1989,F
Aiso,1989,M
Carlo H. Séquin,1990,M
R.D. Clay,1990,M
Peter Lichodzijewski,2002,M
A. Nur Zincir-Heywood,2002,F
Malcolm I. Heywood,2002,M
Ronald J. Williams,1992,M
Antonio S. Oblea,2010,M
Achyut Timilsina,2010,F
David Moore,2010,M
Kristy A. Campbell,2010,F
Hans-Martin Adorf,1990,M
Mark D. Johnston,1990,M
Yuanfang Ren,2014,M
Yan Wu,2014,M
Yoshiteru Ishida,1990,F
Matthew C. Cook,2011,M
Luca Gugelmann,2011,M
Florian Jug,2011,M
Christoph Krautz,2011,M
Angelika Steger,2011,F
