Name,Year
Yuhki Satoh,2002
H. Scherr,1996
G. Scholl,1996
Franziska Seifert,1996
Robert Weigel,1996
R.C. Peach,1995
Kenneth Meade Lakin,2001
J. Belsick,2001
J.F. McDonald,2001
K.T. McCarron,2001
P.K. Weber,1994
Roman A. Schmitt,1994
Bartosz Tylkowski,1994
J. Steck,1994
Jon M. Miller,1983
J. A. Coarasa Perez,1983
J.G. Mottley,1983
Eric I. Madaras,1983
Patrick H. Johnston,1983
E.D. Blodgett,1983
Laurent Thomas,1983
Burton E. Sobel,1983
V. Magori,1994
Robert E. Newnham,1993
Aydin Dogan,1993
Qiao Xu,1993
Katsuhiko Onitsuka,1993
James F. Tressler,1993
Shinya Yoshikawa,1993
P.M. Embree,1985
William D. O'Brien,1985
Reinhard Lerch,1988
W.A. Smith,1984
Avner Shaulov,1984
B.M. Singer,1984
C.S. Hartmann,1972
Barry Secrest,1972
Clarence J. Dunnrowicz,1976
F. Sandy,1976
Thomas E. Parker,1976
S. Elliott,1984
R.C. Bray,1984
P.-C. Eccardt,1997
Kurt Niederer,1997
B. Fischer,1997
P. Ventura,1994
Marc Solal,1994
Pierre Dufilie,1994
J.M. Hode,1994
F. Roux,1994
Mitsuru Adachi,1985
Tadashi Shiosaki,1985
Hiroshi Kobayashi,1985
Osamu Ohnishi,1985
Akira Kawabata,1985
P.V. Wright,1984
Barry Friemel,1995
L.N. Bohs,1995
Gregg E. Trahey,1995
B.P. Abbott,1989
Clinton S. Hartmann,1989
Donald C. Malocha,1989
Frank Schmidt,1994
Leonhard Reindl,1994
V. Mhgori,1994
Svetoslav Nikolov,1999
Kim Gammelmark,1999
Jens Jensen,1999
Roman Kuc,1976
M. Schwartz,1976
L.V. Micsky,1976
Kentaro Hanma,1976
B.J. Hunsinger,1976
T. Thorvaldsson,1989
P.V. Wright,1992
Christopher M. W. Daft,2004
S. Calmes,2004
D. I. Da Graca,2004
K. Patel,2004
P. Wagner,2004
I. Ladabaum,2004
Clinton S. Hartmann,2004
P. Hartmann,2004
Peter Brown,2004
J. Bellamy,2004
L. Claiborne,2004
W. Bonner,2004
Tsutomu Takai,2017
Hideki Iwamoto,2017
Yuichi Takamine,2017
Toshiyuki Fuyutsume,2017
Takeshi Nakao,2017
Masahiro Hiramoto,2017
Takanori Toi,2017
Masayoshi Koshino,2017
Ewald Benes,2001
Martin Gröschl,2001
H. Nowotny,2001
Felix Trampler,2001
Timo Keijzer,2001
H. Bohm,2001
Stefan Radel,2001
Lisa Gherardini,2001
Jeremy J. Hawkes,2001
R. Konig,2001
Ch. Delouvroy,2001
Odile Bonnefous,1986
P. Pesque,1986
Xavier Bernard,1986
Fabio Viola,2005
W. Allan Walker,2005
M. Lewis,1982
Paul Muralt,2005
J. Antifakos,2005
Marco Cantoni,2005
R. Lanz,2005
F. Martin,2005
Thanssis Misaridis,1999
Jørgen Arendt Jensen,1999
Bradley E. Treeby,2014
Jiri Jaros,2014
Daniel Rohrbach,2014
Bradley Cox,2014
Jørgen Arendt Jensen,2000
I. Nikolov,2000
Tsutomu Takai,2016
Hideki Iwamoto,2016
Yuichi Takamine,2016
Hisashi Yamazaki,2016
Toshiyuki Fuyutsume,2016
Haruki Kyoya,2016
Takeshi Nakao,2016
Hajime Kando,2016
Masahiro Hiramoto,2016
Takanori Toi,2016
Masayoshi Koshino,2016
Norio Nakajima,2016
Takanobu Amano,1998
T. Ishii,1998
K. Nakamura,1998
S. Ueha,1998
Richard Yung Chiao,2000
L.J. Thomas,2000
Kenneth Meade Lakin,1992
G.R. Kline,1992
K.T. McCarron,1992
Ken Hashimoto,2011
Michio Kadota,2011
Takeshi Nakao,2011
Masanori Ueda,2011
Michio Miura,2011
Hiroyuki Nakamura,2011
Hidekazu Nakanishi,2011
Kenji Suzuki,2011
Gary J. Saulnier,2006
Henry A. Scarton,2006
A.J. Gavens,2006
David Shoudy,2006
T.L. Murphy,2006
M. Wetzel,2006
S. Bard,2006
Sebastian Roa-Prada,2006
P. Das,2006
Matthew O'Donnell,1993
Stanislav Emelianov,1993
A.R. Skovoroda,1993
M.A. Lubinski,1993
William F. Weitzel,1993
Roger C. Wiggins,1993
Tuomas Pensala,2011
Antti Jaakkola,2011
Mika Prunnila,2011
James Dekker,2011
Timothy J. Hall,2013
Andy Milkowski,2013
Brian S. Garra,2013
Paul L. Carson,2013
Mark L. Palmeri,2013
Kathy Nightingale,2013
Ted Lynch,2013
Abdullah Alturki,2013
Michael P. Andre,2013
Stephane Audiere,2013
Jeffery C. Bamber,2013
Richard G. Barr,2013
Jeremy Bercoff,2013
Jessica Bercoff,2013
Miguel Bernal,2013
Javier Brum,2013
Huan Wee Chan,2013
Shigao Chen,2013
Claude Cohen-Bacrie,2013
Mathieu Couade,2013
Allison Arden Daniels,2013
Ryan J. DeWall,2013
Jonathan R. Dillman,2013
Richard L. Ehman,2013
Stéphanie Franchi-Abella,2013
Jérémie Fromageau,2013
Jean-Luc Gennisson,2013
Jean-Pierre Henry,2013
N.M. Ivancevich,2013
Jan Kalin,2013
Sarah Kohn,2013
Jennifer F. Kugel,2013
Ken Lee,2013
N. Liu,2013
Thanasis Loupas,2013
Joan Mazernik,2013
Stephen A. McAleavey,2013
