Name,Year
Rayette Ann Fisher,2010
Maja Harfman-Todorovic,2010
Felix Kammerer,2011
Johannes Kolb,2011
Michael J. Braun,2011
João L. Pinto,2013
Vitor Monteiro,2013
Henrique Goncalves,2013
Bruno Exposto,2013
Delfim Pedrosa,2013
Carlos Couto,2013
João L. Afonso,2013
Jinjun Liu,1999
Jun Yang,1999
Zhaoan Wang,1999
Asif Sabanovic,2003
Giuseppe Buja,1998
Diego Casadei,1998
Giovanni Serra,1998
Yu Du,2010
Seunghun Baek,2010
Subhashish Bhattacharya,2010
Alex Q. Huang,2010
M.R. Rathi,2005
Ned Mohan,2005
Hoang Le-Huy,2005
Patrick Brunelle,2005
Sebastien Mariethoz,2002
Alfred Rufer,2002
T. Kominami,2007
Yasushi Fujimoto,2007
L. B. Guo,2003
Joseph Hung,2003
R.M. Nelms,2003
N. Khaehintung,2004
K. Pramotung,2004
B. Tuvirat,2004
P. Sirisuk,2004
Y. Tipsuwan,1999
Mo-Yuen Chow,1999
Qobad Shafiee,2012
Juan C. Vasquez,2012
Josep M. Guerrero,2012
Vasileios Karapanos,2011
Sjoerd W. H. de Haan,2011
Kasper Zwetsloot,2011
Joachim Holtz,1998
Pedro Rodriguez,2006
A.V. Timbus,2006
Remus Teodorescu,2006
Marco Liserre,2006
F. Blaagjerg,2006
Georg Lauss,2011
Felix Lehfuss,2011
Alexander Viehweider,2011
Thomas Strasser,2011
Vitor Monteiro,2012
João L. Pinto,2012
Bruno Exposto,2012
Henrique Goncalves,2012
João J. Ferreira,2012
Carlos Couto,2012
João L. Afonso,2012
K. Natori,2004
Tomoya Tsuji,2004
Kouhei Ohnishi,2004
Aleš Hace,2004
Karel Jezernik,2004
Humberto Pinheiro,2002
Fernando Botteron,2002
Cassiano Rech,2002
Luciano Schuch,2002
Robinson Figueiredo de Camargo,2002
Helio Leaes Hey,2002
Hilton Abilio Grundling,2002
Jose Renes Pinheiro,2002
Bogdan M. Wilamowski,2002
Xiangli Li,2002
Richard W. Wall,2003
Nobuyuki Kasa,1999
Takashi Iida,1999
Hideo Iwamoto,1999
Samir Kouro,2012
C. Fuentes,2012
M. Villaplana Perez,2012
Jorge Luis Rodriguez,2012
Takehiro Imura,2009
Hiroyuki Okabe,2009
Toshiyuki Uchida,2009
