Name,Year
Jiefu Zhai,2005
Keman Yu,2005
Jiang Li,2005
Shipeng Li,2005
Bodo Rueckauer,2018
Shih-Chii Liu,2018
Andrew G. Dempster,2002
S.S. Dimirsoy,2002
Izzet Kale,2002
Vladimir Aparin,2004
Gregory V. Brown,2004
Lawrence E. Larson,2004
Tu-Chih Wang,2003
Yu-Wen Huang,2003
Hung-Chi Fang,2003
Liang-Gee Chen,2003
Jun Inagaki,1999
Miki Haseyama,1999
Hiroko Kitajima,1999
Khurram Muhammad,2004
Rafal Staszewski,2004
T. Ritoniemi,1990
T. Karema,1990
Hannu Tenhunen,1990
Oscar Gustafsson,2002
Andrew G. Dempster,2002
Lars Wanhammar,2002
J. Steensgaard,1999
Heiko Purnhagen,2000
Nikolaus Meine,2000
R. Brennan,1998
T. Schneider,1998
Johannes Schemmel,2007
Daniel Brüderle,2007
Karlheinz Meier,2007
B. Ostendorf,2007
Chung-Jr Lian,2001
Kuan-Fu Chen,2001
Honghui Chen,2001
Liang-Gee Chen,2001
Aapo Hyvärinen,1999
Martin Feldhofer,2007
Johannes Wolkerstorfer,2007
Himanshu Thapliyal,2007
A. P. Vinod,2007
L. Sumanen,2002
M. Waltari,2002
V. Hakkarainen,2002
Kari Halonen,2002
Anuj Batra,2004
Jaiganesh Balakrishnan,2004
Anand G. Dabak,2004
Tao Zhang,2001
Zheng Wang,2001
Keshab K. Parhi,2001
J.L. Ganley,1994
J. McGrath Cohoon,1994
Kenji Doya,1992
Marius Tico,2001
Eero Immonen,2001
P. Ramo,2001
Pauli Kuosmanen,2001
Jukka Saarinen,2001
Jiamin Bai,2010
Tian-Tsong Ng,2010
Xinting Gao,2010
Yun Q. Shi,2010
P. Luethi,2007
Andreas Burg,2007
S. Haene,2007
D. Perels,2007
Norbert Felber,2007
Wolfgang Fichtner,2007
Nikolaos Papandreou,2011
Haralampos Pozidis,2011
Angeliki Pantazi,2011
Abu Sebastian,2011
Matthew J. Breitwisch,2011
Christopher W.K. Lam,2011
Evangelos Eleftheriou,2011
Jonathan Baxter,2000
Peter L. Bartlett,2000
R. Mahesh,2008
A. P. Vinod,2008
Suk Won Kim,2003
Dong-Woo Ha,2003
Jeffrey H. Reed,2003
Timothy K. Horiuchi,2004
T. Swindell,2004
David Sander,2004
Patricia Abshier,2004
Tian-Tsong Ng,2004
Shih-Fu Chang,2004
Qibin Sun,2004
A. Poschmann,2007
G.A. Leander,2007
Kai Schramm,2007
Christof Paar,2007
Ashkan Hosseinzadeh Namin,2009
Karl Leboeuf,2009
Roberto Muscedere,2009
Huapeng Wu,2009
Majid Ahmadi,2009
Christoph Posch,2008
Daniel Matolin,2008
Rainer Wohlgenannt,2008
Rolf Schaumann,1989
M.A. Tan,1989
Jussi Vesma,1997
Tapio Saramaki,1997
C. Howland,2001
A. Blanksby,2001
Richard Hartley,1991
Jerry Hughes,1990
I.C. Macbeth,1990
D.M. Pattullo,1990
Kambiz Rahimi,2002
Christopher J. Diorio,2002
C. M. Hernandez,2002
M.D. Brockhausen,2002
Omid Shoaei,1995
William Martin Snelgrove,1995
Ming-Yan Zhang,2003
Jiangmin Gu,2003
Chip-Hong Chang,2003
Tapio Saramaki,1989
E. Abu-Shama,1996
Magdy Bayoumi,1996
B. Axelrod,2005
Y. Berkovich,2005
Adrian Ioinovici,2005
Yiannis Moisiadis,2000
I. Bouras,2000
A. Arapoyanni,2000
W. S. Cheng,1989
Sean M. Davidson,1989
R Berner,2007
Tobi Delbruck,2007
Anton Civit,2007
Alejandro Linares-Barranco,2007
Benjamin J. Blalock,1995
P.E. Allen,1995
C.A. Zukowski,1997
Shao-Yi Wang,1997
