Name,Year,Gender
Won Choe,1995,M
S. Tanaka,1995,F
S.R. Pandian,1995,M
Emanuel Falkenauer,1992,M
Alain Delchambre,1992,F
D. Ferguson,2006,M
Nidhi Kalra,2006,F
Anthony Stentz,2006,M
Christopher G. Atkeson,1997,M
J.C. Santamaria,1997,F
Robert B. Sim,2005,M
Nicole C. Roy,2005,M
Yusuke Nakamura,1987,M
Koichi Nagai,1987,M
Toshikazu Yoshikawa,1987,F
B. Faverjon,1987,M
Pierre Tournassoud,1987,M
J.W. Fenwick,2002,M
Paul Newman,2002,M
John J. Leonard,2002,M
Harsha Prahlad,2008,M
Ron Pelrine,2008,F
Scott Stanford,2008,M
J. Marlow,2008,M
Roy D. Kornbluh,2008,M
Sebastian Thrun,2003,M
Dirk Hähnel,2003,M
D. Ferguson,2003,M
Michael Montemerlo,2003,M
Rudolph Triebel,2003,M
Wolfram Burgard,2003,M
Christopher R. Baker,2003,M
Zachary Omohundro,2003,M
Scott M. Thayer,2003,M
William Whittaker,2003,M
Bruce H. Krogh,1986,M
Charles E. Thorpe,1986,M
Daewon Lee,2012,M
Tyler Ryan,2012,M
Hyun-Chul Kim,2012,M
Sergey Levine,2015,M
Nolan Wagener,2015,M
Pieter Abbeel,2015,M
Ludovic Righetti,2006,M
Auke Jan Ijspeert,2006,M
M. Kovac,2008,M
M. Fuchs,2008,M
André Guignard,2008,M
Jean-Christophe Zufferey,2008,M
D. Floreano,2008,M
Gerardo Lafferriere,1991,M
Héctor J. Sussmann,1991,M
Arunkumar Byravan,2017,M
Dieter Fox,2017,M
Nadia Cheng,2012,F
Maxim Lobovsky,2012,M
Steven Keating,2012,M
