Name,Year
Dingyu Xue,2006
Chunna Zhao,2006
YangQuan Chen,2006
Giuseppe Notarstefano,2006
Ketan Savla,2006
Francesco Bullo,2006
Ali Jadbabaie,2006
Guangming Xie,2009
Huiyang Liu,2009
Long Wang,2009
Yingmin Jia,2009
Lorenzo Serrao,2011
Simona Onori,2011
Antonio Sciarretta,2011
Yann Guezennec,2011
Giorgio Rizzoni,2011
Gregory Becker,1993
Andrew Packard,1993
Doug Philbrick,1993
Gary J. Balas,1993
Saeid Bashash,2011
Hosam K. Fathy,2011
Wei Ren,2006
Timothy W. McLain,2001
P.R. Chandler,2001
Svend Erik Rasmussen,2001
M. Pachter,2001
Reinhardt Klein,2011
Nalin Chaturvedi,2011
Jake Christensen,2011
Jasim Ahmed,2011
Rolf Findeisen,2011
Aleksandar Kojic,2011
Reza Olfati-Saber,2008
N.F. Sandell,2008
S. Ikenaga,2000
Frank L. Lewis,2000
J. Campos,2000
L. Davis,2000
Chia-Ling Chien,1992
Pavlos Ioannou,1992
Cheolhyeon Kwon,2013
Weiyi Liu,2013
Inseok Hwang,2013
John Doyle,1987
Roy G. Smith,1987
Dale F. Enns,1987
Shahab Sheikholeslam,1991
Charles A. Desoer,1991
James E. Bobrow,1983
Steven Dubowsky,1983
James S. Gibson,1983
Aranya Chakrabortty,2013
Pramod P. Khargonekar,2013
Robert L. Kosut,1990
Ming Woei Lau,1990
Stephen Boyd,1990
Kenneth R. Muske,1993
James B. Rawlings,1993
Jay H. Lee,1993
Airlie Chapman,2013
Mehran Mesbahi,2013
Arthur Richards,2004
J. How,2004
Pinak Tulpule,2009
Vincenzo Marano,2009
Giorgio Rizzoni,2009
Weiwen Wang,2003
Zhiqiang Gao,2003
Nikolaos Papanikolopoulos,1991
Pradeep K. Khosla,1991
Takeo Kanade,1991
Daniel Y. Abramovitch,2002
L. Singh,2001
J. Fuller,2001
Donald T. Stansbery,2000
J.R. Cloutier,2000
D.R. Nelson,2006
D.B. Barber,2006
Timothy W. McLain,2006
Randal W. Beard,2006
Keck Voon Ling,2006
S.P. Yue,2006
Jan M. Maciejowski,2006
Wei-Bin Zhang,1990
Robert L. Parsons,1990
Thomas P. West,1990
Adolfo Anta,2008
Paulo Tabuada,2008
Makan Fardad,2011
Fu Lin,2011
Mihailo R. Jovanovic,2011
Tamas Keviczky,2006
Paolo Falcone,2006
Francesco Borrelli,2006
Jahan Asgari,2006
Davor Hrovat,2006
A. Pedro Aguiar,2003
Joao P. Hespanha,2003
I.V. Kolmanovsky,2002
Irina Siverguina,2002
Bob Lygoe,2002
A. Mark Richards,2003
Jonathan P. How,2003
Bert Pluymers,2005
John Anthony Rossiter,2005
Johan A. K. Suykens,2005
B. De Moor,2005
Peter H. Meckl,1998
Peter Byron Arestides,1998
Athans,1986
Marios M. Polycarpou,1993
