Name,Year,Gender
Jaehyeok Yoo,1998,F
S. H. Kim,1998,M
Changsoo Kim,1998,M
Savio L. C. Woo,1998,M
S. S. Sun,1998,M
Zhu Wang,2010,M
Rui Yang,2010,M
Lingfeng Wang,2010,M
Dariusz Swierczynski,2002,M
Marian P. Kazmierkowski,2002,M
Stamatis Karnouskos,2012,M
Armando Walter Colombo,2012,M
Thomas Bangemann,2012,M
Keijo Manninen,2012,M
Roberto Camp,2012,M
Marcel Tilly,2012,M
Petr Stluka,2012,M
Francois Jammes,2012,M
Jerker Delsing,2012,M
Jens Eliasson,2012,M
Robert Callanan,2008,M
Ashok Agarwal,2008,M
Al Burk,2008,M
M. K. Das,2008,M
Brett Hull,2008,M
Fatima Husna,2008,F
A. Powell,2008,F
Jim Richmond,2008,M
Sei-Hyung Ryu,2008,M
Qingchun Zhang,2008,F
Ahmed Elasser,2010,M
Mohammed Agamy,2010,M
Juan Antonio Sabate,2010,M
Robert Louis Steigerwald,2010,M
Rayette Ann Fisher,2010,F
Maja Harfman-Todorovic,2010,M
Felix Kammerer,2011,M
Johannes Kolb,2011,M
Michael J. Braun,2011,M
João L. Pinto,2013,M
Vitor Monteiro,2013,M
Henrique Goncalves,2013,M
Bruno Exposto,2013,M
Delfim Pedrosa,2013,M
Carlos Couto,2013,M
João L. Afonso,2013,M
Jinjun Liu,1999,F
Jun Yang,1999,M
Zhaoan Wang,1999,M
Asif Sabanovic,2003,M
Giuseppe Buja,1998,M
Diego Casadei,1998,F
Giovanni Serra,1998,F
Yu Du,2010,M
Seunghun Baek,2010,M
Subhashish Bhattacharya,2010,M
Alex Q. Huang,2010,M
M.R. Rathi,2005,M
Ned Mohan,2005,M
Hoang Le-Huy,2005,M
Patrick Brunelle,2005,F
Sebastien Mariethoz,2002,M
Alfred Rufer,2002,M
T. Kominami,2007,F
Yasushi Fujimoto,2007,M
L. B. Guo,2003,M
Joseph Hung,2003,M
R.M. Nelms,2003,M
N. Khaehintung,2004,M
K. Pramotung,2004,M
B. Tuvirat,2004,M
P. Sirisuk,2004,M
Y. Tipsuwan,1999,M
Mo-Yuen Chow,1999,M
Qobad Shafiee,2012,M
Juan C. Vasquez,2012,M
Josep M. Guerrero,2012,M
Vasileios Karapanos,2011,M
Sjoerd W. H. de Haan,2011,M
Kasper Zwetsloot,2011,M
Joachim Holtz,1998,M
Pedro Rodriguez,2006,M
A.V. Timbus,2006,M
Remus Teodorescu,2006,M
Marco Liserre,2006,M
F. Blaagjerg,2006,M
Georg Lauss,2011,M
