Name,Year,Gender
M. Elkins,2006,M
D. Esposito,2006,M
W. O'Halloran,2006,M
Franz S. Hover,2006,M
Michael A. Kokko,2006,F
Guannan Xie,2001,F
J. M. Gibson,2001,M
J. A. Valls Ferrer,2007,F
Armagan Elibol,2007,M
O. Delaunoy,2007,M
Nuno Gracias,2007,M
R. F. Naranjo Garcia,2007,M
Ana Cristina Matos,1999,F
Nuno Cruz,1999,M
Alfredo Martins,1999,M
Fernando Lobo Pereira,1999,F
Xueyi Geng,1995,M
Adam Zielinski,1995,F
T.J. Osse,2007,M
C.C. Eriksen,2007,M
Peng Xie,2006,M
Jun-Hong Cui,2006,M
A. K. Sanchez,2011,M
Sara Blanc,2011,F
P. Yuste,2011,M
J. Serrano,2011,M
R. Marthiniussen,2004,M
K. Vestgard,2004,M
R.A. Klepaker,2004,M
Nils Størkersen,2004,M
Mandar Chitre,2014,M
Rohit Bhatnagar,2014,M
Wee-Seng Soh,2014,M
Guanding Yu,2008,M
Liuqing Yang,2008,F
E.M. Sozer,1999,F
John G. Proakis,1999,M
R. Stojanovic,1999,M
J.A. Rice,1999,F
A. Benson,1999,M
M. Hatch,1999,M
Douglas A. Abraham,1990,M
Norman L. Owsley,1990,M
B. Schlining,2006,M
Nancy Jacobsen Stout,2006,M
Wendy C. Cox,2008,M
Jim A. Simpson,2008,M
C.P. Domizioli,2008,M
John F. Muth,2008,M
Brett G.M. Hughes,2008,M
Justin Manley,1997,M
Lee Freitag,2001,F
Marvin Johnson,2001,M
M. Grund,2001,M
S. K. Singh,2001,M
James C. Preisig,2001,M
Yin-Jun Chen,2007,M
Haoli Wang,2007,M
Alejandro Palmeiro,2011,M
Manuel Martin,2011,M
Ian Crowther,2011,M
Mark Alan Rhodes,2011,M
T. Kojiya,2004,F
Fumie Sato,2004,F
Hidetoshi Matsuki,2004,M
Takafumi Sato,2004,M
D.R. Edgington,2003,M
K. A. Salamy,2003,F
M. Risi,2003,F
Robert R. Sherlock,2003,M
D. Walther,2003,M
Christof Koch,2003,M
K. Ishu,2004,M
T. van der Zant,2004,M
Vlatko Becanovic,2004,M
Paul G. Plöger,2004,M
Almir Davis,2012,M
Hwa Seok Chang,2012,M
Feijun Song,2000,M
Stephen M. Smith,2000,M
Nuno Gracias,2001,M
José Santos-Victor,2001,M
Sebastian Carreno,2010,M
Philip A. Wilson,2010,M
Pere Ridao,2010,M
Yvan Petillot,2010,M
Motoko Suzuki,1992,F
Takahiko Sasaki,1992,M
Takashi Tsuchiya,1992,F
Gerald L. D’Spain,1992,M
William S. Hodgkiss,1992,M
G.L. Edmonds,1992,M
J. C. Nickles,1992,M
F.H. Fisher,1992,M
R.A. Harriss,1992,F
Yang Zhang,2016,M
Shahriar Negahdaripour,2016,M
Qingzhong Li,2016,F
Ronald M. Hansen,2003,M
Torstein Olsmo Saebo,2003,M
Kenneth Gade,2003,M
Scott Chapman,2003,M
Milan Stojanovic,2000,M
Lee Freitag,2000,F
B.A.A.P. Balasuriya,1997,F
M. Takai,1997,M
W.C. Lam,1997,M
Tamaki Ura,1997,F
Yasuhiro Kuroda,1997,M
Eric T. Steimle,2006,M
Michael B. Hall,2006,M
K.F. Scussel,1997,M
J. E. Rice,1997,M
S. Merriam,1997,F
Brett Hobson,2007,M
R. McEwen,2007,M
Jon Erickson,2007,M
Thomas Hoover,2007,M
L. McBride,2007,F
F. Shane,2007,M
James G. Bellingham,2007,M
Davide Anguita,2011,F
Davide Brizzolara,2011,F
Giancarlo Parodi,2011,M
Qilong Hu,2011,M
M.B. Larsen,2000,M
H. Weinberg,1982,M
Thomas Butkiewicz,2014,M
Chiara Petrioli,2011,F
Roberto Petroccia,2011,M
John D. Potter,2011,M
A.P. Scherbatyuk,1995,F
J. C. Nickles,1992,M
G.L. Edmonds,1992,M
R.A. Harriss,1992,F
F.H. Fisher,1992,M
William S. Hodgkiss,1992,M
J. Giles,1992,M
Gerald L. D’Spain,1992,M
Morten Breivik,2005,M
Thor I. Fossen,2005,M
Stefano Basagni,2012,M
Chiara Petrioli,2012,F
Roberto Petroccia,2012,M
Daniele Spaccin,2012,M
Jim Simpson,2010,M
William J. Cox,2010,M
John R. Krier,2010,M
Brandon Cochenour,2010,M
Brian M. Hughes,2010,M
John F. Muth,2010,M
N.L. Brown,1974,M
Ali Abdi,2007,M
Huaihai Guo,2007,M
P. Sutthiwan,2007,M
Nathaniel Fairfield,2008,M
David Wettergreen,2008,M
Giuseppe Ateniese,2015,F
Angelo Capossele,2015,M
Petrika Gjanci,2015,F
Chiara Petrioli,2015,F
Daniele Spaccini,2015,F
Gerald J. Dobeck,2001,M
Brandon Cochenour,2006,M
