Name,Year,Gender
Carl DiSalvo,2010,M
Phoebe Sengers,2010,F
Hrönn Brynjarsdóttir,2010,M
Robin Jeffries,1991,M
James H. Miller,1991,M
Cathleen Wharton,1991,F
Kathy M. Uyeda,1991,F
Fadel Adib,2015,M
Hongzi Mao,2015,M
Zachary Kabelac,2015,M
Dina Katabi,2015,F
Robert F. Miller,2015,M
Adam I. Marcus,2011,M
Michael S. Bernstein,2011,M
Osama Badar,2011,M
David R. Karger,2011,M
Samuel Madden,2011,M
Robert F. Miller,2011,M
Jaime Teevan,2004,M
Christine Alvarado,2004,M
Mark S. Ackerman,2004,M
David R. Karger,2004,M
Norbert A. Streitz,1999,M
Jörg Geißler,1999,M
Torsten Holmer,1999,M
Shin'ichi Konomi,1999,M
Christian Müller-Tomfelde,1999,M
Wolfgang Reischl,1999,M
Petra Rexroth,1999,M
Peter Seitz,1999,M
Ralf Steinmetz,1999,M
Elizabeth D. Mynatt,2001,F
Jim Rowan,2001,M
Stephanie Craighill,2001,F
Annie R. Jacobs,2001,M
Saleema Amershi,2019,F
Daniel S. Weld,2019,M
Mihaela Vorvoreanu,2019,F
Adam Fourney,2019,M
Besmira Nushi,2019,F
Penny Collisson,2019,M
Jina Suh,2019,F
Shamsi T. Iqbal,2019,M
Paul Bennett,2019,M
Kori Inkpen,2019,F
Jaime Teevan,2019,M
Ruth Kikin-Gil,2019,F
Eric Horvitz,2019,M
Víctor M. González,2004,M
Gloria Mark,2004,F
Eli Blevis,2007,M
Meredith Ringel Morris,2010,F
Jaime Teevan,2010,M
Katrina Panovich,2010,F
Lena Mamykina,2011,F
Bella Manoim,2011,F
Manas Mittal,2011,M
George Hripcsak,2011,M
Björn Hartmann,2011,M
Sunny Consolvo,2005,M
Ian F. C. Smith,2005,M
Tara Matthews,2005,M
Anthony LaMarca,2005,M
Jason Tabert,2005,M
Pauline Powledge,2005,M
Robert J. K. Jacob,1990,M
Chris Harrison,2010,M
Desney S. Tan,2010,M
Dan Morris,2010,M
Marianna Obrist,2013,F
Sue Ann Seah,2013,F
Sriram Subramanian,2013,M
Blair Nonnecke,2000,M
Jenny Preece,2000,F
Lilly Irani,2013,F
M. Six Silberman,2013,M
Ian R. A. Mackenzie,2003,F
R. William Soukoreff,2003,M
Eun Kyung Choe,2014,F
Nicole Lee,2014,F
Bongshin Lee,2014,M
Wanda Pratt,2014,F
Julie A. Kientz,2014,F
Luis von Ahn,2006,M
Ruoran Liu,2006,M
Manuel Blum,2006,M
Daniel W. Russell,1993,M
Mark J. Stefik,1993,M
Peter Pirolli,1993,M
Stuart K. Card,1993,M
Catherine Plaisant,1996,F
Brett Milash,1996,M
Anne Rose,1996,F
Seth Widoff,1996,M
Ben Shneiderman,1996,M
James D. Hollan,1992,M
Susan Stornetta,1992,F
Jennifer Mankoff,2003,F
Anind K. Dey,2003,M
Gary Hsieh,2003,M
Julie A. Kientz,2003,F
Scott Lederer,2003,M
Morgan G. Ames,2003,M
Moira Burke,2011,F
Robert E. Kraut,2011,M
Cameron Marlow,2011,M
William G. Hill,1992,M
James D. Hollan,1992,M
Dave Wroblewski,1992,M
Tim McCandless,1992,M
Aniket Kittur,2007,M
Bongwon Suh,2007,M
Bryan A. Pendleton,2007,M
Ed H. Chi,2007,M
Heather Desurvire,2004,F
Martin Caplan,2004,M
Jozsef Toth,2004,M
Min Wu,2006,M
Robert C. Miller,2006,M
Simson L. Garfinkel,2006,M
Kenton O'Hara,1997,M
Abigail Sellen,1997,F
Leah Buechley,2008,F
Michael B. Eisenberg,2008,M
Jaime Catchen,2008,M
Ali Crockett,2008,M
Susan T. Dumais,1988,M
George W. Furnas,1988,M
Thomas K. Landauer,1988,M
Scott Deerwester,1988,M
Richard A. Harshman,1988,M
Serge Egelman,2008,M
Lorrie Faith Cranor,2008,F
Jason Hong,2008,M
Jon E. Froehlich,2009,M
Tawanna R. Dillahunt,2009,F
Predrag Klasnja,2009,F
Jennifer Mankoff,2009,F
Sunny Consolvo,2009,M
Beverly L. Harrison,2009,M
James A. Landay,2009,F
Ramana B. Rao,1994,F
Stuart K. Card,1994,M
Munmun De Choudhury,2016,M
Emre Kiciman,2016,M
Mark Dredze,2016,M
Glen Coppersmith,2016,M
Mrinal Kumar,2016,M
Christopher Ahlberg,1992,M
Christopher Williamson,1992,M
Ben Shneiderman,1992,M
Michel Beaudouin-Lafon,2000,M
Jackie Cassell,1999,F
Timothy Bickmore,1999,M
Mark Billinghurst,1999,M
Lesley V. Campbell,1999,M
K. Chang,1999,M
Hannes Högni Vilhjálmsson,1999,M
Hao Yan,1999,M
Antti Oulasvirta,2005,F
Sakari Tamminen,2005,M
Virpi Roto,2005,F
J. A. Kuorelahti,2005,F
Sunny Consolvo,2009,M
David W. McDonald,2009,M
James A. Landay,2009,F
James A. Landay,1995,F
Brad A. Myers,1995,M
John S. Underkoffler,1999,M
Hiroshi Ishii,1999,M
Sean Kandel,2011,M
Andreas Paepcke,2011,M
Joseph M. Hellerstein,2011,F
Jeffrey Heer,2011,M
John Rooksby,2014,M
Mattias Rost,2014,M
Alistair Morrison,2014,M
Matthew Chalmers,2014,M
Saul Greenberg,2008,M
Bill Buxton,2008,M
Karel Vredenburg,2002,M
Ji-Ye Mao,2002,F
Pete Smith,2002,M
Tom Carey,2002,M
Hayes Solos Raffle,2004,M
Amanda Parkes,2004,F
Hiroshi Ishii,2004,M
Linda E. Sibert,2000,F
Robert J. K. Jacob,2000,M
Peter Peltonen,2008,M
Esko Kurvinen,2008,M
Antti Salovaara,2008,F
Giulio Jacucci,2008,M
Tommi Ilmonen,2008,M
John S. O. Evans,2008,M
Antti Oulasvirta,2008,F
Pasi Saarikko,2008,M
Kate Starbird,2011,F
Leysia Palen,2011,F
I. Scott MacKenzie,1992,M
William Buxton,1992,M
Lilly Irani,2010,F
Janet Vertesi,2010,F
Paul Dourish,2010,M
Kavita Philip,2010,M
Rebecca E. Grinter,2010,F
Ji-Lin Chen,2009,F
Werner Geyer,2009,M
Casey Dugan,2009,M
Michael Muller,2009,M
Ido Guy,2009,M
Manojit Sarkar,1992,M
Marc B. Brown,1992,M
Steve Sheng,2010,M
Mandy B. Holbrook,2010,M
Ponnurangam Kumaraguru,2010,M
Lorrie Faith Cranor,2010,F
Julie S. Downs,2010,M
Ashraf Abdul,2018,M
Jo Vermeulen,2018,F
Danding Wang,2018,M
Brian Y. Lim,2018,M
Mohan S. Kankanhalli,2018,M
Tovi Grossman,2005,M
Ravin Balakrishnan,2005,M
Jason A. Stewart,1999,M
Benjamin B. Bederson,1999,M
Allison Druin,1999,M
Gloria Mark,2005,F
Victor M. Gonzalez,2005,M
Justin Harris,2005,M
Brent Hecht,2011,M
Lichan Hong,2011,M
Bongwon Suh,2011,M
Ed H. Chi,2011,M
Noam Tractinsky,1997,M
Nicholas Diakopoulos,2010,M
David A. Shamma,2010,M
