Name,Year,Gender
Jennifer Mankoff,2007,F
Deanna H. Matthews,2007,F
Susan R. Fussell,2007,M
Michael P. Johnson,2007,M
Paul Hines,2010,M
Seth Blumsack,2010,M
E. J. Sanchez,2010,M
Clayton Barrows,2010,M
Dave Gehrke,1999,M
E. Turban,1999,M
A. KINI,1998,F
Joobin Choobineh,1998,F
Palaninathan Kannan,2001,M
Anne B. Chang,2001,M
Andrew B. Whinston,2001,M
Gail Ridley,2004,M
Jacques Young,2004,M
Pgh Carroll,2004,M
Jeffery A. Carroll,2002,M
Stanley M. Howard,2002,M
Frank Vetere,2002,F
J.S. Peck,2002,M
J. Brendan Murphy,2002,M
I. G. Checkland,1993,M
Colin Runciman,1993,M
Hans P. Borgman,2013,M
Bouchaib Bahli,2013,M
Hauke Heier,2013,M
F. Schewski,2013,M
Kim Potter Kihlstrom,1998,M
Louise E. Moser,1998,F
Peter M. Melliar-Smith,1998,M
Vidyanand Choudhary,2007,M
Kevin Crowston,2006,M
Kangning Wei,2006,M
Qing X. Li,2006,F
James Howison,2006,M
Leona Bannon,1996,F
Kari Kuutti,1996,F
Paul Hines,2008,M
Seth Blumsack,2008,M
Kari Chopra,2003,F
William A. Wallace,2003,M
Robert Winter,2003,M
Bernhard Strauch,2003,M
J. Malinowski,2006,M
T. Keim,2006,M
Oliver Wendt,2006,M
Tim Weitzel,2006,M
Frederick J. Riggins,2015,M
Samuel Fosso Wamba,2015,M
Jay Pedersen,2013,M
David Kocsis,2013,M
Abhishek Tripathi,2013,M
Alvin Tarrell,2013,M
A. Weerakoon,2013,F
Nargess Tahmasbi,2013,M
Jie Xiong,2013,M
Wei Deng,2013,M
Onook Oh,2013,M
G.-J. de Vreede,2013,M
Dick Stenmark,2002,M
M. R. Shepherd,1998,M
Carolyn Watters,1998,F
R. Stuart Geiger,2011,M
David Ribes,2011,M
Efthimios Tambouris,2007,M
Naoum Liotas,2007,M
Konstantinos Tarabanis,2007,M
Felipe Ortega,2008,M
Jesus M. Gonzalez-Barahona,2008,F
Gregorio Robles,2008,M
Zhifang Wang,2002,M
R. C. Thomas,2002,M
Zygmunt J. Haas,2002,M
Christopher K.T. Farmer,2010,M
Paul Hines,2010,M
Jonathan Dowds,2010,M
Seth Blumsack,2010,M
David Gefen,2003,M
V. Srinivasan Rao,2003,M
Noam Tractinsky,2003,M
Kaizar Amin,2004,M
Gregor von Laszewski,2004,M
Mihael Hategan,2004,M
Nestor J. Zaluzec,2004,M
Shelagh M. Hampton,2004,M
A. Rossi,2004,F
Clyde W. Holsapple,1999,F
K. Joshi,1999,M
Zhongli Ding,2004,M
Yun Peng,2004,M
Murray E. Jennex,2004,F
Lorne Olfman,2004,M
Zahir Irani,2006,M
Madi Al-Sebie,2006,F
Tony Elliman,2006,M
Nicholas Romano,2001,M
Jay F. Nunamaker,2001,M
Cristiano Castelfranchi,2000,F
Rino Falcone,2000,M
Sachin Kumar,2016,M
Tyler Vealey,2016,F
Harshit Srivastava,2016,M
Marian Anghel,2007,F
K.A. Werley,2007,F
Adilson E. Motter,2007,M
Viswanath Venkatesh,2011,M
Tracy Ann Sykes,2011,F
Xiaojun Zhang,2011,F
L. Efimova,2007,F
Jonathan Grudin,2007,M
Ying Ge,2003,M
Thomas Kunz,2003,M
Louise Lamont,2003,M
Edoardo Biagioni,2003,M
Galen Sasaki,2003,M
H.M. Chung,1998,M
P. Gray,1998,M
Michael V. Mannino,1998,M
M.J. Succi,1999,M
Zhiping Walter,1999,M
Ian Dobson,2004,M
Benjamin A. Carreras,2004,M
David E. Newman,2004,M
Wen-Hsiung Wu,1999,M
DH McKnight,2001,M
Norman L. Chervany,2001,M
Chunqing Wang,2002,M
Antonio Carzaniga,2002,M
David Evans,2002,M
Alexander Wolf,2002,M
Per E. Pedersen,2003,M
Rich Ling,2003,M
B. Anckar,2002,M
Davide D'Incau,2002,M
Muhammad Younis,2004,M
Kemal Akkaya,2004,F
Mohamed Eltoweissy,2004,M
Ashraf Wadaa,2004,M
Hanna Krasnova,2010,F
Natasha F. Veltri,2010,F
L. P. Zhou,2003,M
Douglas P. Twitchell,2003,M
Tiantian Qin,2003,F
Judee K. Burgoon,2003,F
Jay F. Nunamaker,2003,M
Upkar Varshney,2001,F
Ron Vetter,2001,M
Candice Gardner,2004,F
Donald L. Amoroso,2004,M
Lili Wang,2005,F
Stuart Bretschneider,2005,M
Jon Gant,2005,M
Jan Marco Leimeister,2004,M
Pascal Sidiras,2004,M
Helmut Krcmar,2004,M
Andrea Forte,2008,F
Amy Bruckman,2008,M
V.R. Westmark,2004,M
Jonathan Grudin,2006,M
Robert H. Lasseter,2000,M
P. Piagi,2000,M
Peter Ractham,2011,M
Daniel Firpo,2011,M
Ann M. Hickey,2003,F
Alan M. Davis,2003,M
Niina Mallat,2006,F
Matti Rossi,2006,M
Virpi Kristiina Tuunainen,2006,F
Anssi Öörni,2006,F
Robert O. Briggs,2001,M
G.-J. de Vreede,2001,M
Jay F. Nunamaker,2001,M
David H. Tobey,2001,M
Li Ding,2005,M
Lina Zhou,2005,F
Tim Finin,2005,M
Amit Joshi,2005,M
Hans Jochen Scholl,2003,M
Eric K. Clemons,1988,M
Michael C. Row,1988,M
Raymond R. Panko,1996,M
R.P. Halverson,1996,M
Murray E. Jennex,2002,F
Lorne Olfman,2002,M
Anita L. Blanchard,2002,F
M.L. Markus,2002,M
Thomas Erickson,1997,M
Mathias Weske,2001,M
Ian Dobson,2003,M
Benjamin A. Carreras,2003,M
David E. Newman,2003,M
Zhengqiang Liang,2005,M
Weisong Shi,2005,M
L. Efimova,2005,F
A. de Moor,2005,F
Jukka Ylitalo,2003,F
Tony Jokikyyny,2003,F
Tero Kauppinen,2003,M
A.J. Tuominen,2003,F
J. Laine,2003,F
Luciano Baresi,2001,M
Franca Garzotto,2001,F
