Name,Year,Gender
Derek Kingston,2005,M
Angelo Alessandri,2001,M
Paolo Coletta,2001,F
Mario A. Rotea,2000,F
Steven Gillijns,2006,M
Oscar Barrero Mendoza,2006,M
J. Chandrasekar,2006,M
B. De Moor,2006,M
Dennis S. Bernstein,2006,M
Aaron J. Ridley,2006,M
G. Paganelli,2001,F
M. Tateno,2001,M
A. Brahma,2001,F
Giorgio Rizzoni,2001,M
Yann Guezennec,2001,M
Kathryn Johnson,2009,F
Naveen Thomas,2009,M
Robert J. Fitzgerald,1986,M
Xiaoxia Yang,2009,F
Yi Huang,2009,M
S. Prajna,2003,F
Antonis Papachristodoulou,2003,M
Shuo Pang,2001,F
Jay A. Farrell,2001,M
Jie Du,2001,M
Mary C. Barth,2001,M
Robert Miklosovic,2006,M
A. Radke,2006,F
Zhiqiang Gao,2006,M
Jay Hauser,1990,M
Richard M. Murray,1990,M
Bong Wie,1990,M
Dennis S. Bernstein,1990,M
Duy Nguyen-Tuong,2008,F
Markus A. Seeger,2008,M
Jan Peters,2008,M
Dingyu Xue,2006,M
Chunna Zhao,2006,F
YangQuan Chen,2006,M
Giuseppe Notarstefano,2006,M
Ketan Savla,2006,F
Francesco Bullo,2006,M
Ali Jadbabaie,2006,F
Guangming Xie,2009,M
Huiyang Liu,2009,M
Long Wang,2009,M
Yingmin Jia,2009,F
Lorenzo Serrao,2011,M
Simona Onori,2011,F
Antonio Sciarretta,2011,F
Yann Guezennec,2011,M
Giorgio Rizzoni,2011,M
Gregory Becker,1993,M
Andrew Packard,1993,M
Doug Philbrick,1993,M
Gary J. Balas,1993,M
Saeid Bashash,2011,M
Hosam K. Fathy,2011,M
Wei Ren,2006,M
Timothy W. McLain,2001,M
P.R. Chandler,2001,M
Svend Erik Rasmussen,2001,M
M. Pachter,2001,M
Reinhardt Klein,2011,M
Nalin Chaturvedi,2011,M
Jake Christensen,2011,M
Jasim Ahmed,2011,M
Rolf Findeisen,2011,M
Aleksandar Kojic,2011,M
Reza Olfati-Saber,2008,F
N.F. Sandell,2008,M
S. Ikenaga,2000,F
Frank L. Lewis,2000,M
J. Campos,2000,M
L. Davis,2000,M
Chia-Ling Chien,1992,F
Pavlos Ioannou,1992,M
Cheolhyeon Kwon,2013,M
Weiyi Liu,2013,M
Inseok Hwang,2013,M
John Doyle,1987,M
Roy G. Smith,1987,M
Dale F. Enns,1987,M
Shahab Sheikholeslam,1991,M
Charles A. Desoer,1991,M
James E. Bobrow,1983,M
Steven Dubowsky,1983,M
James S. Gibson,1983,M
Aranya Chakrabortty,2013,M
Pramod P. Khargonekar,2013,M
Robert L. Kosut,1990,M
Ming Woei Lau,1990,M
Stephen Boyd,1990,M
Kenneth R. Muske,1993,M
James B. Rawlings,1993,M
Jay H. Lee,1993,M
Airlie Chapman,2013,F
Mehran Mesbahi,2013,M
Arthur Richards,2004,M
J. How,2004,M
Pinak Tulpule,2009,F
Vincenzo Marano,2009,M
Giorgio Rizzoni,2009,M
Weiwen Wang,2003,F
Zhiqiang Gao,2003,M
Nikolaos Papanikolopoulos,1991,M
Pradeep K. Khosla,1991,M
Takeo Kanade,1991,M
Daniel Y. Abramovitch,2002,M
L. Singh,2001,M
J. Fuller,2001,M
Donald T. Stansbery,2000,M
J.R. Cloutier,2000,M
D.R. Nelson,2006,M
D.B. Barber,2006,M
Timothy W. McLain,2006,M
Randal W. Beard,2006,M
Keck Voon Ling,2006,M
S.P. Yue,2006,M
Jan M. Maciejowski,2006,F
Wei-Bin Zhang,1990,M
Robert L. Parsons,1990,M
Thomas P. West,1990,M
Adolfo Anta,2008,F
Paulo Tabuada,2008,F
Makan Fardad,2011,M
Fu Lin,2011,F
Mihailo R. Jovanovic,2011,M
Tamas Keviczky,2006,M
Paolo Falcone,2006,M
Francesco Borrelli,2006,M
Jahan Asgari,2006,M
Davor Hrovat,2006,M
A. Pedro Aguiar,2003,M
Joao P. Hespanha,2003,F
I.V. Kolmanovsky,2002,M
Irina Siverguina,2002,F
Bob Lygoe,2002,M
A. Mark Richards,2003,M
Jonathan P. How,2003,M
Bert Pluymers,2005,M
John Anthony Rossiter,2005,M
Johan A. K. Suykens,2005,M
B. De Moor,2005,M
Peter H. Meckl,1998,M
Peter Byron Arestides,1998,M
Athans,1986,M
Marios M. Polycarpou,1993,M
Petros Ioannou,1993,M
Guangju Zhai,2000,F
Bing Hu,2000,M
Keishu Yasuda,2000,F
Anthony N. Michel,2000,M
Pierre E. Dupont,2000,M
Brian S. R. Armstrong,2000,M
Vincent Hayward,2000,M
Jovan Boskovic,1998,M
Ssu-Hsin Yu,1998,M
