Name,Year,Gender
Brian J. Anderson,1989,M
Michael S. Branicky,2002,M
Sidney F. Phillips,2002,M
Wei Zhang,2002,M
Mark B. Milam,2000,M
K. Mushambi,2000,M
Richard M. Murray,2000,M
Abhishek Gupta,2010,M
Cedric Langbort,2010,M
Tamer Basar,2010,M
Aswin N. Venkat,2005,M
James B. Rawlings,2005,M
S. Wright,2005,M
Zhiqiang Gao,2001,M
Yi Huang,2001,M
Jingqing Han,2001,M
Emanuel Todorov,2008,M
Ralf Bachmayer,2002,M
Naomi Ehrich Leonard,2002,M
Xiangheng Liu,2004,M
Andrea Goldsmith,2004,F
Dimos V. Dimarogonas,2009,M
Karl Henrik Johansson,2009,M
Minyi Huang,2003,F
Peter E. Caines,2003,M
Roland P. Malhamé,2003,M
Robert Mahony,2005,M
Tarek Hamel,2005,M
Jean Michel Pflimlin,2005,M
Anthony J. Ryan,2004,M
Maria-Christina Zennaro,2004,F
A.S. Howell,2004,M
Raj Sengupta,2004,F
J. Karl Hedrick,2004,M
Zhongjing Ma,2010,F
Duncan S. Callaway,2010,M
Ian A. Hiskens,2010,F
Stefan Pettersson,1996,M
Bengt Lennartson,1996,M
John Doyle,1983,M
T. Madani,2006,F
Abdelaziz Benallegue,2006,M
Masoud Farivar,2013,M
Lin X. Chen,2013,M
Steven H. Low,2013,M
Eduardo D. Sontag,1989,M
A. Giridhar,2006,M
P. R. Kumar,2006,M
Gokhan Inalhan,2002,M
Dusan M. Stipanovic,2002,M
Claire J. Tomlin,2002,F
Daniel B. Work,2008,M
Olli-Pekka Tossavainen,2008,M
S. Blandin,2008,M
Alexandre M. Bayen,2008,M
T. Iwuchukwu,2008,M
K. Tracton,2008,M
Tansu Alpcan,2003,M
Tamer Basar,2003,M
Pierre Rouchon,1993,M
Michel Fliess,1993,M
Jean Lévine,1993,F
Peter G. Martin,1993,M
James B. Rawlings,2012,M
David Angeli,2012,F
Cuyler N. Bates,2012,M
Aleks Göllü,1989,M
Pravin Varaiya,1989,F
Anders Rantzer,2011,M
Anthony F. Hotz,1985,M
Robert E. Skelton,1985,M
R.L. Raffard,2004,M
Claire J. Tomlin,2004,F
Stephen Boyd,2004,M
Luca Schenato,2007,M
G. Gamba,2007,M
Sven Hedlund,1999,M
Anders Rantzer,1999,M
Hamidreza Chitsaz,2007,M
Steven M. LaValle,2007,M
Abdelhamid Tayebi,2004,M
S. McGilvray,2004,M
Roberto Solis,2006,M
Vivek S. Borkar,2006,M
P. Senthil Kumar,2006,M
D. Mignone,2000,F
Giancarlo Ferrari-Trecate,2000,F
Manfred Morari,2000,M
Héctor J. Sussmann,1991,M
Yang Yang,1991,M
Babak Azimi-Sadjadi,2003,F
Chae An,1985,F
Christopher G. Atkeson,1985,M
John M. Hollerbach,1985,M
Daniel Limón Marruedo,2002,M
Teodoro Alamo,2002,M
Eduardo F. Camacho,2002,M
Sette Diop,1991,F
Michel Fliess,1991,M
Richard J. Paul,1978,M
B. Shimano,1978,M
Arash Hassibi,1999,M
Stephen Boyd,1999,M
Jonathan P. How,1999,M
Ronald R. Yager,1978,M
Emilio Frazzoli,2000,M
Munther A. Dahleh,2000,F
Eric Feron,2000,M
Koushil Sreenath,2013,M
Taeyoung Lee,2013,F
Vijay Kumar,2013,M
Michael M. Zavlanos,2007,M
Ali Jadbabaie,2007,F
George J. Pappas,2007,M
Arthur Richards,2004,M
Jonathan P. How,2004,M
Kin Cheong Sou,2011,M
James Weimer,2011,M
Henrik Sandberg,2011,M
Karl Henrik Johansson,2011,M
William B. Dunbar,2002,M
Robin M. Murray,2002,M
Somil Bansal,2017,M
Mo Chen,2017,M
Sylvia L. Herbert,2017,M
Claire J. Tomlin,2017,F
D. Willner,1976,M
C. Chang,1976,M
K. Dunn,1976,M
Mario Sznaier,1987,M
M.J. Damborg,1987,F
Anooshiravan Saboori,2007,F
Christoforos N. Hadjicostis,2007,M
Rafael Vazquez,2011,M
Miroslav Krstic,2011,M
Jean-Michel Coron,2011,M
John Bellingham,2002,M
Michael Tillerson,2002,M
M. Alighanbari,2002,M
Jonathan P. How,2002,M
Michael M. Zavlanos,2008,M
L. Spesivtsev,2008,M
George J. Pappas,2008,M
Sergey V. Drakunov,1992,M
