Name,Year
Annie R. Jacobs,2001
Saleema Amershi,2019
Daniel S. Weld,2019
Mihaela Vorvoreanu,2019
Adam Fourney,2019
Besmira Nushi,2019
Penny Collisson,2019
Jina Suh,2019
Shamsi T. Iqbal,2019
Paul Bennett,2019
Kori Inkpen,2019
Jaime Teevan,2019
Ruth Kikin-Gil,2019
Eric Horvitz,2019
Víctor M. González,2004
Gloria Mark,2004
Eli Blevis,2007
Meredith Ringel Morris,2010
Jaime Teevan,2010
Katrina Panovich,2010
Lena Mamykina,2011
Bella Manoim,2011
Manas Mittal,2011
George Hripcsak,2011
Björn Hartmann,2011
Sunny Consolvo,2005
Ian F. C. Smith,2005
Tara Matthews,2005
Anthony LaMarca,2005
Jason Tabert,2005
Pauline Powledge,2005
Robert J. K. Jacob,1990
Chris Harrison,2010
Desney S. Tan,2010
Dan Morris,2010
Marianna Obrist,2013
Sue Ann Seah,2013
Sriram Subramanian,2013
Blair Nonnecke,2000
Jenny Preece,2000
Lilly Irani,2013
M. Six Silberman,2013
Ian R. A. Mackenzie,2003
R. William Soukoreff,2003
Eun Kyung Choe,2014
Nicole Lee,2014
Bongshin Lee,2014
Wanda Pratt,2014
Julie A. Kientz,2014
Luis von Ahn,2006
Ruoran Liu,2006
Manuel Blum,2006
Daniel W. Russell,1993
Mark J. Stefik,1993
Peter Pirolli,1993
Stuart K. Card,1993
Catherine Plaisant,1996
Brett Milash,1996
Anne Rose,1996
Seth Widoff,1996
Ben Shneiderman,1996
James D. Hollan,1992
Susan Stornetta,1992
Jennifer Mankoff,2003
Anind K. Dey,2003
Gary Hsieh,2003
Julie A. Kientz,2003
Scott Lederer,2003
Morgan G. Ames,2003
Moira Burke,2011
Robert E. Kraut,2011
Cameron Marlow,2011
William G. Hill,1992
James D. Hollan,1992
Dave Wroblewski,1992
Tim McCandless,1992
Aniket Kittur,2007
Bongwon Suh,2007
Bryan A. Pendleton,2007
Ed H. Chi,2007
Heather Desurvire,2004
Martin Caplan,2004
Jozsef Toth,2004
Min Wu,2006
Robert C. Miller,2006
Simson L. Garfinkel,2006
Kenton O'Hara,1997
Abigail Sellen,1997
Leah Buechley,2008
Michael B. Eisenberg,2008
Jaime Catchen,2008
Ali Crockett,2008
Susan T. Dumais,1988
George W. Furnas,1988
Thomas K. Landauer,1988
Scott Deerwester,1988
Richard A. Harshman,1988
Serge Egelman,2008
Lorrie Faith Cranor,2008
Jason Hong,2008
Jon E. Froehlich,2009
Tawanna R. Dillahunt,2009
Predrag Klasnja,2009
Jennifer Mankoff,2009
Sunny Consolvo,2009
Beverly L. Harrison,2009
James A. Landay,2009
Ramana B. Rao,1994
Stuart K. Card,1994
Munmun De Choudhury,2016
Emre Kiciman,2016
Mark Dredze,2016
Glen Coppersmith,2016
Mrinal Kumar,2016
Christopher Ahlberg,1992
Christopher Williamson,1992
Ben Shneiderman,1992
Michel Beaudouin-Lafon,2000
Jackie Cassell,1999
Timothy Bickmore,1999
Mark Billinghurst,1999
Lesley V. Campbell,1999
K. Chang,1999
Hannes Högni Vilhjálmsson,1999
Hao Yan,1999
Antti Oulasvirta,2005
Sakari Tamminen,2005
Virpi Roto,2005
J. A. Kuorelahti,2005
Sunny Consolvo,2009
David W. McDonald,2009
James A. Landay,2009
James A. Landay,1995
Brad A. Myers,1995
John S. Underkoffler,1999
Hiroshi Ishii,1999
Sean Kandel,2011
Andreas Paepcke,2011
Joseph M. Hellerstein,2011
Jeffrey Heer,2011
John Rooksby,2014
Mattias Rost,2014
Alistair Morrison,2014
Matthew Chalmers,2014
Saul Greenberg,2008
Bill Buxton,2008
Karel Vredenburg,2002
Ji-Ye Mao,2002
Pete Smith,2002
Tom Carey,2002
Hayes Solos Raffle,2004
Amanda Parkes,2004
Hiroshi Ishii,2004
Linda E. Sibert,2000
Robert J. K. Jacob,2000
Peter Peltonen,2008
Esko Kurvinen,2008
Antti Salovaara,2008
Giulio Jacucci,2008
Tommi Ilmonen,2008
John S. O. Evans,2008
Antti Oulasvirta,2008
Pasi Saarikko,2008
Kate Starbird,2011
Leysia Palen,2011
I. Scott MacKenzie,1992
William Buxton,1992
Lilly Irani,2010
Janet Vertesi,2010
Paul Dourish,2010
Kavita Philip,2010
Rebecca E. Grinter,2010
Ji-Lin Chen,2009
Werner Geyer,2009
Casey Dugan,2009
Michael Muller,2009
Ido Guy,2009
Manojit Sarkar,1992
Marc B. Brown,1992
Steve Sheng,2010
Mandy B. Holbrook,2010
Ponnurangam Kumaraguru,2010
Lorrie Faith Cranor,2010
Julie S. Downs,2010
Ashraf Abdul,2018
Jo Vermeulen,2018
Danding Wang,2018
Brian Y. Lim,2018
Mohan S. Kankanhalli,2018
Tovi Grossman,2005
Ravin Balakrishnan,2005
Jason A. Stewart,1999
Benjamin B. Bederson,1999
Allison Druin,1999
Gloria Mark,2005
Victor M. Gonzalez,2005
Justin Harris,2005
Brent Hecht,2011
Lichan Hong,2011
Bongwon Suh,2011
Ed H. Chi,2011
Noam Tractinsky,1997
Nicholas Diakopoulos,2010
David A. Shamma,2010
Piotr Adamczyk,2004
Brian P. Bailey,2004
Gloria Mark,2008
Daniela Gudith,2008
U. Klocke,2008
Ji-Lin Chen,2010
Rowan Nairn,2010
Les Nelson,2010
Michael S. Bernstein,2010
Ed H. Chi,2010
Oren Zuckerman,2005
Saeed Arida,2005
Mitchel Resnick,2005
Javier A. Bargas-Avila,2011
Kasper Hornbæk,2011
Mitchel Resnick,1998
Fred Martin,1998
Robert A. Berg,1998
Richard Borovoy,1998
Vanessa Colella,1998
Kwin Kramer,1998
Brian S. Silverman,1998
Leysia Palen,2007
Sophia B. Liu,2007
Alexander De Luca,2012
Alina Hang,2012
Frederik Brudy,2012
Christian Lindner,2012
Heinrich Hussmann,2012
Erik Frøkjær,2000
Morten Hertzum,2000
Kasper Hornbæk,2000
Daniel Fallman,2003
Ed H. Chi,2001
Peter Pirolli,2001
Kim Chen,2001
James E. Pitkow,2001
Jennifer Golbeck,2011
Cristina Robles,2011
Karen Turner,2011
Daniel Vogel,2007
Patrick Baudisch,2007
Dan Cosley,2003
Shyong K. Lam,2003
Istvan Albert,2003
Joseph A. Konstan,2003
John Riedl,2003
F. Maxwell Harper,2008
Daphne R. Raban,2008
Sheizaf Rafaeli,2008
Joseph A. Konstan,2008
Brian Y. Lim,2009
Anind K. Dey,2009
Daniel Avrahami,2009
Martin Porcheron,2018
Joel E. Fischer,2018
Stuart Reeves,2018
Sarah Sharples,2018
Joel Brandt,2009
Philip J. Guo,2009
Joel Lewenstein,2009
Mira Dontcheva,2009
Scott R. Klemmer,2009
Stuart Reeves,2005
Steve Benford,2005
Claire O'Malley,2005
Mike Fraser,2005
Kerry Rodden,2003
Kenneth Wood,2003
Edward Cutrell,2007
Zhiwei Guan,2007
Hao Chen,2000
Susan T. Dumais,2000
Caitlin Kelleher,2007
Randy Pausch,2007
Sara Kiesler,2007
Rashmi Sinha,2002
Kirsten Swearingen,2002
Cliff Lampe,2004
Paul Resnick,2004
danah boyd,2004
Moira Burke,2009
Cameron Marlow,2009
Thomas V. Lento,2009
Evangelos Karapanos,2009
John Zimmerman,2009
Jodi Forlizzi,2009
Jean-Bernard Martens,2009
Ryan S. Baker,2004
Albert T. Corbett,2004
Kenneth R. Koedinger,2004
Angela Wagner,2004
Scott A. Elrod,1992
Richard C. Bruce,1992
Rich Gold,1992
David E. Goldberg,1992
Frank G. Halasz,1992
William J. Janssen,1992
David J. Lee,1992
Kim McCall,1992
Elin Rønby Pedersen,1992
Ken Pier,1992
John C. Tang,1992
Brent B. Welch,1992
Thomas W. Malone,1982
William Hamilton,2014
Oliver Kelleam Garretson,2014
Andruid Kerne,2014
Eve Hoggan,2008
Stephen A. Brewster,2008
Jody Johnston,2008
David Pinelle,2008
Nelson Wong,2008
Tadeusz Stach,2008
I. Scott MacKenzie,2001
Tatu Kauppinen,2001
Miika Silfverberg,2001
Timothy Bickmore,2001
Justine Cassell,2001
Clayton Lewis,1990
Peter G. Polson,1990
Cathleen Wharton,1990
John Rieman,1990
Peter Pirolli,1996
James E. Pitkow,1996
Ramana B. Rao,1996
Peter Pirolli,1995
Stuart K. Card,1995
Hrvoje Benko,2006
Andrew Wilson,2006
Patrick Baudisch,2006
Hrönn Brynjarsdóttir,2012
Maria Håkansson,2012
James Pierce,2012
Eric P. S. Baumer,2012
Carl DiSalvo,2012
Phoebe Sengers,2012
Victoria Bellotti,2003
Nicolas Ducheneaut,2003
Mark E Howard,2003
Ian F. C. Smith,2003
William Gaver,2004
John E. Bowers,2004
Andrew B. Boucher,2004
Hans Gellerson,2004
Sarah Pennington,2004
Albrecht Schmidt,2004
Anthony Steed,2004
Nicholas Villars,2004
Brendan M. Walker,2004
Kirsten Boehner,2007
Janet Vertesi,2007
Phoebe Sengers,2007
Paul Dourish,2007
Arthur Tang,2003
Charles A. Owen,2003
Frank Biocca,2003
Weimin Mou,2003
Janne Lindqvist,2011
Justin Cranshaw,2011
Jason Wiese,2011
Jason Hong,2011
John Zimmerman,2011
Richard P. Boardman,2004
M. Angela Sasse,2004
Pranav Mistry,2009
Pattie Maes,2009
Liyan Chang,2009
Julie S. Downs,2010
Mandy B. Holbrook,2010
Steve Sheng,2010
Lorrie Faith Cranor,2010
Nathan Bos,2002
Judy M. Olson,2002
Darren Gergle,2002
Gary M. Olson,2002
Zach Wright,2002
Eric Paulos,2004
Elizabeth Goodman,2004
Roel Vertegaal,2001
Robert Slagter,2001
Gerrit van der Veer,2001
Anton Nijholt,2001
B. J. Fogg,1998
A. J. Bernheim Brush,2011
Bongshin Lee,2011
Ratul Mahajan,2011
Sharad Agarwal,2011
Stefan Saroiu,2011
Colin Dixon,2011
Jaime Ruiz,2011
Yan Li,2011
Edward Lank,2011
Toby Sharp,2015
Cem Keskin,2015
Duncan A. Robertson,2015
Jonathan Taylor,2015
Jamie Shotton,2015
David H. Kim,2015
Christoph Rhemann,2015
Ido Leichter,2015
Alon Vinnikov,2015
Yichen Wei,2015
Daniel Z. Freedman,2015
Pushmeet Kohli,2015
Eyal Krupka,2015
Andrew Fitzgibbon,2015
Shahram Izadi,2015
Brad A. Myers,1992
Mary Beth Rosson,1992
Majken Kirkegaard Rasmussen,2012
Esben Rahbek Gjerdrum Pedersen,2012
Marianne G. Petersen,2012
Kasper Hornbæk,2012
Allan MacLean,1990
Kathleen Carter,1990
Lennart Lövstrand,1990
Thomas M. Moran,1990
Mare Hassenzahl,2000
Axel Platz,2000
Michael Burmester,2000
Katrin Lehner,2000
Henry Lieberman,1997
Motahhare Eslami,2015
Aimee Rickman,2015
Kristen Vaccaro,2015
Amirhossein Aleyasen,2015
Andy Vuong,2015
Karrie Karahalios,2015
Kevin Hamilton,2015
Christian Sandvig,2015
Ben Piper,2002
Carlo Ratti,2002
Hiroshi Ishii,2002
J. Callahan,1988
Don Hopkins,1988
M. Weiser,1988
Ben Shneiderman,1988
Steve Whittaker,1994
David Frohlich,1994
Owen Daly-Jones,1994
Munmun De Choudhury,2013
Scott E. Counts,2013
Eric Horvitz,2013
Predrag Klasnja,2011
Sunny Consolvo,2011
Wanda Pratt,2011
Alan Wexelblat,1999
Pattie Maes,1999
Sharon Oviatt,1997
Antonella DeAngeli,1997
Karen Kuhn,1997
A. W. Rivadeneira,2007
Daniel Gruen,2007
Michael Muller,2007
David R. Millen,2007
Florian Mueller,2003
Stefan Agamanolis,2003
Rosalind Picard,2003
Carlos Jensen,2004
Colin Potts,2004
Min Goo Lee,2015
Daniel Kusbit,2015
Evan Metsky,2015
Laura Dabbish,2015
Steve Benford,1995
John E. Bowers,1995
Lennart E. Fahlén,1995
Chris Greenhalgh,1995
Dave Snowdon,1995
I. Scott MacKenzie,1999
Shawn Zhang,1999
